cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
UgxhznAo7v6TD2bAnKN4AaABAg,1 mahine se aapka vlog Nahin a Raha Ham sabki bhi bus ho gai hai ab aap a jaaye beshek mushkil ke bad aasani hai😊 Allah will help you,3 hours ago,@QarsamQadeer-o3v,UCscPD4AS2iMj2jE2Skg8nZw,0,,https://yt3.ggpht.com/ytc/AIdro_mcUitJlRW5-lIrRufSMRIE2gd5HfAEPkVcKrTa-k7TvnhoS0R52D6vLr83vSJcyw-Nhw=s88-c-k-c0x00ffffff-no-rj,False,False,1757937827.244272
UgzyZLPoOznoKoV8uE54AaABAg,Ducky bhai Allah pak aapki tamam mushkilen dur Kare aur aap jaldi se apne ghar a jaaye aamin aur aroon api  bhi sabar de aur inshallah hamari duaaen  aapke Sath Hain😊,3 hours ago,@QarsamQadeer-o3v,UCscPD4AS2iMj2jE2Skg8nZw,0,,https://yt3.ggpht.com/ytc/AIdro_mcUitJlRW5-lIrRufSMRIE2gd5HfAEPkVcKrTa-k7TvnhoS0R52D6vLr83vSJcyw-Nhw=s88-c-k-c0x00ffffff-no-rj,False,False,1757937827.245594
UgyRnzgi5EpbQtmpvaZ4AaABAg,دکی بھائی آگیا باہر 6 گھنٹے پہلے,3 hours ago,@faheembabar1191,UC5C57RZ4U6GQ5lb4RZj_sUw,0,,https://yt3.ggpht.com/33efXPVAagpj37fzHmX93PdsjxlUttemQD6ox2UCw0IhcJOUjmYKT_LK5Bcjk5g76LhVxGBK=s88-c-k-c0x00ffffff-no-rj,False,False,1757937827.246938
UgxATDzS2mPO1XVDqTF4AaABAg.AN5Y7xjUWQTAN5YM-_wf-q,9million krwao ducky ky,58 minutes ago,@Sabt-e-alijoyo,UCEpor81JOoRRM1l-1yu0zRg,0,,https://yt3.ggpht.com/TbK6Ot6J3jqDlw9wtXQ13mf6ZFCCc2UEBgN4RiDvrYToSaot0RLnZ0_Ofnly2cJ_n7rKavaF=s88-c-k-c0x00ffffff-no-rj,False,True,1757945147.440114
UgwUnQzs6W_vsYmucH94AaABAg,"Very closed to 9 million  8.98  subscriber now  ducky bhai army do it faster.❤❤
Love from Multani❤",3 hours ago,@sufiyanalesha5655,UC1ptNyX63VGtaeVfyDvFIwA,0,,https://yt3.ggpht.com/ytc/AIdro_lHAXskYwYGn2RQiGNHbblD12NIdmx4A2gfMGamOxfH-D6b-sPLkV_0RxCV0PvgSmrPtg=s88-c-k-c0x00ffffff-no-rj,False,False,1757937827.745601
UgzolnbE4XClQFTnfy94AaABAg,Ducky bhai ka channel bhi cheen liya gya hai or saari income bhi jo Unhon nai kamai ab sb shuru se start krna parre ja😢,3 hours ago,@TAHAIrfan-o1w,UCllQWz67PU56D_fr3hpt00g,0,,https://yt3.ggpht.com/ytc/AIdro_laeprnjeHjiSdCtkIY5ZekgChoopKGcpUw4d6SjxNavZDbGCmy_rqh6gzdnVcZjWhtBQ=s88-c-k-c0x00ffffff-no-rj,False,False,1757937827.747196
UgwdIwr3CKd7LEBuAKp4AaABAg,I miss you 😢,4 hours ago,@HaseebMemon-k1c2r,UCPo9hL1IxxRF23u4VFi2bFw,0,,https://yt3.ggpht.com/ytc/AIdro_nKOqIVC_wjCGDpD96rhr1ZSOIcdvmYOi5pFdtljKl4eJy8AVLi8mdgjfZHrXpiFTZecw=s88-c-k-c0x00ffffff-no-rj,False,False,1757934227.74871
UgxCwCMdwoh9bD6MQOd4AaABAg,Bhai ka 9 milian karva do yaar jaldi unke subscribers please❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,4 hours ago,@HaseebMemon-k1c2r,UCPo9hL1IxxRF23u4VFi2bFw,0,,https://yt3.ggpht.com/ytc/AIdro_nKOqIVC_wjCGDpD96rhr1ZSOIcdvmYOi5pFdtljKl4eJy8AVLi8mdgjfZHrXpiFTZecw=s88-c-k-c0x00ffffff-no-rj,False,False,1757934227.750128
UgxonXExJLmLLul6xax4AaABAg,May Allah blessed you 😢😢,4 hours ago,@Youtberzuby,UCx4wIA-1cqAi1JR_i5x_Z3Q,0,,https://yt3.ggpht.com/9We4dhhUELq0aNAMne2q6aihPpj0X8NWKj-hi1TTw9i1DHeZIXfldHFcEYdXVxVc2WR9VJ6zKA=s88-c-k-c0x00ffffff-no-rj,False,False,1757934227.751533
UgwI4tAwoV2YYXp9-vt4AaABAg,I miss you ducky bhai 🥺😭😭😭,4 hours ago,@AhmadVlog777-i9c,UC40kffZNS1DN07zZoaNMfhg,0,,https://yt3.ggpht.com/44l8271gOkfBG7nCZndK45KnvwK2VGn4mwY-W_soEi5GqRt3wk0z4vbA5ovg6BB0HKDbRLQsCw=s88-c-k-c0x00ffffff-no-rj,False,False,1757934227.752898
UgyMbQilGJWujeWBV894AaABAg,Ducky bhai come back,5 hours ago,@HababButt,UCBLtGpRhazp2Mk77sx0R2HA,0,,https://yt3.ggpht.com/vZtDwpdcCrtPm5H0-MKlSMQnRKZIW5FVEl5d1rM6xwCzqxs3zvg0jUCUwxsCcGZ0L2q2PHRdQw=s88-c-k-c0x00ffffff-no-rj,False,False,1757930627.754259
UgwFrF3C-WQ4pw0PSc94AaABAg,Hlo bhi vlog 😢Kyu nahi a raha 😢😢,5 hours ago,@ArhamImran-i6b7f,UCMXqGqejSx-zT8k-PRuxUGQ,0,,https://yt3.ggpht.com/ytc/AIdro_lN1r14JyVE1HV827fOA4jwcUpML9JATe2vub3wBZwgdO1_u1mEpcWHSejRd9oj5lcaaA=s88-c-k-c0x00ffffff-no-rj,False,False,1757930627.755576
Ugw0VGJzJUUePVDnB0F4AaABAg,Come back pleaseeeeee,5 hours ago,@KILxOP2t,UCnE_ZUSFy40i8HONQCRbnpw,0,,https://yt3.ggpht.com/DXVNt4YkDnT94fkEnDNYi7hWqvy20i9czZqxgsMTIex2URww40FxF_9XdIHKX5ZjOFfv7TbR=s88-c-k-c0x00ffffff-no-rj,False,False,1757930627.756964
UgzLk9ie62wLu8uAWaB4AaABAg,Come back pleaseeeeeeeee,5 hours ago,@KILxOP2t,UCnE_ZUSFy40i8HONQCRbnpw,0,,https://yt3.ggpht.com/DXVNt4YkDnT94fkEnDNYi7hWqvy20i9czZqxgsMTIex2URww40FxF_9XdIHKX5ZjOFfv7TbR=s88-c-k-c0x00ffffff-no-rj,False,False,1757930627.758685
Ugx9tqD6VRq0pfjxLv14AaABAg,"Miss u bhai!!! ❤
Alllah apki mushkilain asan kren ammen🫠🤍",5 hours ago,@HafizAbdulGhani-o6p,UCeY85LXqsEtvssbX6dDFhVg,0,,https://yt3.ggpht.com/gHyAc7UC2CcTycH1HsuqQr9ZLUvqP7WPGFL-PCa9sUTzZ0gNZq_lfDVeVO78zKh5q1HRaMicmA=s88-c-k-c0x00ffffff-no-rj,False,False,1757930627.760361
UgwIicMsyAIeVq9l_O54AaABAg,Come back pleaseeee,5 hours ago,@KILxOP2t,UCnE_ZUSFy40i8HONQCRbnpw,0,,https://yt3.ggpht.com/DXVNt4YkDnT94fkEnDNYi7hWqvy20i9czZqxgsMTIex2URww40FxF_9XdIHKX5ZjOFfv7TbR=s88-c-k-c0x00ffffff-no-rj,False,False,1757930627.761712
UgxOrJS-KlLfTzFCLPl4AaABAg,Duck januu wapis ajaaa yarrr,5 hours ago,@MalikShahzad-j3s,UCSzgQlrdo1PxGD8KmBPBAWg,0,,https://yt3.ggpht.com/ytc/AIdro_m5evfCF_YxC_lDCZai6PdDPi8RLB_PVhrL3a1ARTLFBM2x9-KClsWFWW2FfUzwIrVBkQ=s88-c-k-c0x00ffffff-no-rj,False,False,1757930627.763116
Ugz4MftTh6kfL7fJ-iF4AaABAg,9 millions Kara do dacky bhai ki army,5 hours ago,@lifesharewith-umarabbasi,UCOxwloqgQW38beb_kb_w3Eg,1,,https://yt3.ggpht.com/88wCsatGQgnyUSQHwCtZIfodnG5xsgwkdycPze452EUkPub4Xklz1RFoPI7nO29_slhQpBEbHcw=s88-c-k-c0x00ffffff-no-rj,False,False,1757930627.764473
UgxsnjVlde7pgzqWwbZ4AaABAg,Dacky bhai miss you😢😢😢😢😢😢😮😢😢,5 hours ago,@wassayo9d,UCma4CGdJVDiLmoobl-BhIsw,0,,https://yt3.ggpht.com/ytc/AIdro_mVvv-gFPHj94EZ3kOWqZtH2y-mi5F2b2ynastv9iexeP25U6LJAhAIVW4QU67e4q-bHg=s88-c-k-c0x00ffffff-no-rj,False,False,1757930627.765822
UgwescS0IKOiDgEUCsJ4AaABAg,We mis ducky army and ducky bhai❤❤❤❤❤,6 hours ago,@petslover-j5m,UCX6UbNK-bToLYq8oiyffgdg,0,,https://yt3.ggpht.com/i-BtvXHuthP93U187gFUlZef4MFKW0a_wjbXcxCnaxmkU12fP13jPJFM044CFulWLQo0GySspQ=s88-c-k-c0x00ffffff-no-rj,False,False,1757927027.767201
UgwtVQRW7gAbt6MRGQB4AaABAg,Love you bro❤,7 hours ago,@TooniBhi,UCYcBUz9vsyx5xLaPcPv455g,0,,https://yt3.ggpht.com/XoExQSaF80cW_VXM7P_hC9tZ9FnzEWpyUl_gaYnBhSnvCZO8VUNN8Gt9ahRv_Lu525XlnezWcb8=s88-c-k-c0x00ffffff-no-rj,False,False,1757923427.768855
Ugw-QFp-flm2eOzDp-14AaABAg,"You will be back soon Insha Allah, Allah sa maafi mang la ghalti to hoe hai anjana mein ap sa Allah behtar kar da ga Insha Allah",8 hours ago (edited),@hexrajput6112,UCOy06_JrUKLoxpMcJugLWrw,0,,https://yt3.ggpht.com/k-INvpD-rt2i9vTxbzpzjEwkW77V_sm7PSwhXAdWS_6xlxf4R1sYjQWLGTKjcAYe_k1iKhzT6g=s88-c-k-c0x00ffffff-no-rj,False,False,1757919827.770567
UgxYFtRyuOtay0Nq_mp4AaABAg,Come back bro❤,9 hours ago,@sytroyt1,UCteKFBr9KSNPPeW5b74ZtjA,0,,https://yt3.ggpht.com/p523QMbxSiZo_aFtoGzU6cgflPGWEy9JxhuiY3VN_Pv_DOA7xH4QqA6Wkp0vga7ho5VPYk3bAw=s88-c-k-c0x00ffffff-no-rj,False,False,1757916227.772202
Ugy9XIQpWs41HFVEA_d4AaABAg,❤❤❤,9 hours ago,@sytroyt1,UCteKFBr9KSNPPeW5b74ZtjA,0,,https://yt3.ggpht.com/p523QMbxSiZo_aFtoGzU6cgflPGWEy9JxhuiY3VN_Pv_DOA7xH4QqA6Wkp0vga7ho5VPYk3bAw=s88-c-k-c0x00ffffff-no-rj,False,False,1757916227.773603
UgyfFmamdw4gvOtbl314AaABAg,We miss you ducky bhaiiii❤,9 hours ago,@Rabmatales,UC2fKMggY0yFDbsu2061LF9g,0,,https://yt3.ggpht.com/MgapjEasnjg8muYbdr3lbh3wq1cJZyL8a9oVtwurjG3lpFkNeGQL1-fzWf_zgO59O_8KGdWedw=s88-c-k-c0x00ffffff-no-rj,False,False,1757916228.15498
UgwRLJV4CU0qYuD7MO94AaABAg,❤❤❤❤,10 hours ago,@primetours7765,UCtQqJg8t9_VyoO3DsySKNFA,0,,https://yt3.ggpht.com/ytc/AIdro_nKkIBEl86bDoyoZYcEvMwbd0x5Axmi0i87zaV1WT0oqGA60CgbEDEinqUAaa9pb4TwIQ=s88-c-k-c0x00ffffff-no-rj,False,False,1757912628.157905
UgzPncuuYTC3jnIYElt4AaABAg,❤❤❤❤,10 hours ago,@primetours7765,UCtQqJg8t9_VyoO3DsySKNFA,0,,https://yt3.ggpht.com/ytc/AIdro_nKkIBEl86bDoyoZYcEvMwbd0x5Axmi0i87zaV1WT0oqGA60CgbEDEinqUAaa9pb4TwIQ=s88-c-k-c0x00ffffff-no-rj,False,False,1757912628.160816
UgzP1KV7dc-TmxHG8dJ4AaABAg,Come back kardo 😢😢❤,10 hours ago,@ajswaseem8852,UCPc9-HVB1wVSHKYtZQ5811Q,0,,https://yt3.ggpht.com/ytc/AIdro_k9dylAGZtB0Vy4A265doCSQgFuRTThpwDf0Mo5smI=s88-c-k-c0x00ffffff-no-rj,False,False,1757912628.163813
UgxrmNVlJlSoX2FFTP94AaABAg,Ducky Bhai vlog aplod kardo ham bor ho Raha ha please ducky Bhai ❤❤❤😢,10 hours ago,@ajswaseem8852,UCPc9-HVB1wVSHKYtZQ5811Q,0,,https://yt3.ggpht.com/ytc/AIdro_k9dylAGZtB0Vy4A265doCSQgFuRTThpwDf0Mo5smI=s88-c-k-c0x00ffffff-no-rj,False,False,1757912628.166701
UgzMcF7ZlN_pXGTjWhp4AaABAg,Miss you ducky bahi ♥️😘🙏,10 hours ago,@IbrahimRajpoot-w4u,UCNUOkTrLlX5AR_P2YwH4OZQ,0,,https://yt3.ggpht.com/ytc/AIdro_k_YYK3DguaTmEf0OS9ni-p8B3OjUgYPwUVGcv44bnzgXOkhkPcnYEaaiqygACONf8Oaw=s88-c-k-c0x00ffffff-no-rj,False,False,1757912628.169521
Ugz1euZ9UvU-sPmfjyR4AaABAg,Don't worry ducky Bhai we are with you ❤,10 hours ago,@abdulsaleem5815,UCBs7sQl2X1yQIgtNArgpegw,0,,https://yt3.ggpht.com/2pRjFChIhNt7ua5YCy6e8NSD0dBTqZd90vWuWs2Kg6wNY3nMIIbK-bzMAAgNh3T5u63sDP_75A=s88-c-k-c0x00ffffff-no-rj,False,False,1757912628.172258
UgwEUi6IGAMOtvm6g2F4AaABAg,Allah Tala ducky Bhai ko hr mushkil se bachae,10 hours ago,@ammar_sketcher,UCWT1LHovetd3_UGn5hkg5LA,0,,https://yt3.ggpht.com/jkcgQk7stkuz_adUzgmUxcGeQE8DJD5xydYLvEn92Pz0kkj2qroR2c2x5JyRPTB7-mY_ratNUQ=s88-c-k-c0x00ffffff-no-rj,False,False,1757912628.174986
Ugzxp_gs84AtUS61GYB4AaABAg,"Ducky bhai plzzzzz come back 😢,😭😭😭😭😭😭😭😭😭",11 hours ago,@NsndkfndNxn,UC-TEBMjIH8ootSMkv9nsbuQ,0,,https://yt3.ggpht.com/ytc/AIdro_lmfMlm7mvgCBaKxr28ToxC0pRlCwZwL1OH3sMsflQPBOitVI7HouPqTrq8uBQXl6I5tA=s88-c-k-c0x00ffffff-no-rj,False,False,1757909028.177836
UgznO0dXTG4ZqpfBiO14AaABAg,Ducky Bhai app ka vlog nahi AA Raha Mai perashan ho Rai Kya hoa,12 hours ago,@craftshorts12,UCInQvrSpIAhpWmKB8W2IuyA,0,,https://yt3.ggpht.com/KqqWfZczROLmXeCD1jlmt8mXhxr2ZK_Dxk08BbYdI2FX-a1qZkJQMwmFUUaGhr7o0rIEJSJ8ww=s88-c-k-c0x00ffffff-no-rj,False,False,1757905428.180618
Ugz9ab3bYiNh8OuFnQJ4AaABAg,Bhi please vlogs dalo please 😢,12 hours ago,@HusnainRiaZ-y3d,UCRaSKaxN96wzepMSsa-fRvw,0,,https://yt3.ggpht.com/ytc/AIdro_kGJzQne4tLxXgvjd2qdB4-ZxFvdKrEml04CMC_OW9Qbpq0uVjTTkyvuZ_aG_JA0VwRMg=s88-c-k-c0x00ffffff-no-rj,False,False,1757905428.183431
UgzQNEERox_WiJEM2qV4AaABAg,😢😢😢😢😢😢,14 hours ago,@virusgaming6625,UCMZvArdSXyY6MyZFfK-lKsg,0,,https://yt3.ggpht.com/beTHBikJNiXvmpadD0hl8f6ZiWdT8W7yIdAPIIv8_Jo3J2xhmgUBSWOY8gH0jzQqWi6OIw_c=s88-c-k-c0x00ffffff-no-rj,False,False,1757898228.18672
UgyEAP9JD-Wgz-E60c14AaABAg,is bandy ko apna abu banany waly khoti k bacho is bandy ny haram kamaya ha or tum logo ko bhi ussi rasty per lagaya ha ankhen kholo apni.....,14 hours ago,@talhakhan23188,UCEDqjj-8dD0jZfhXY98w9dA,0,,https://yt3.ggpht.com/ytc/AIdro_laeprnjeHjiSdCtkIY5ZekgChoopKGcpUw4d6SjxNavZDbGCmy_rqh6gzdnVcZjWhtBQ=s88-c-k-c0x00ffffff-no-rj,False,False,1757898228.189902
Ugx_7Xae44B22ptZnJB4AaABAg,En sab k pechy kanjri Maryam nawaz hy jo sab ko sirf ghulam dekhna chahti hy ALLAH madad karain apki,15 hours ago,@khansalma9,UC76fe2S67dSib1eO473I5mQ,0,,https://yt3.ggpht.com/YjPXRm9KTw7eydMHlxAPyAf_MojcpfWY4SC-RX_gA0XBh5imIoVJZNmJeKIwM46ML-tGy-mVvvU=s88-c-k-c0x00ffffff-no-rj,False,False,1757894628.193054
UgyVpFOXUsOZg2InfPJ4AaABAg,😭😭,16 hours ago,@yousafchuza7986,UCx-r7V9SzVjseGHYMIKsOPw,1,,https://yt3.ggpht.com/ytc/AIdro_kKeDvXpy1V6syjNaU-hA3pwPPXpFWV2m_bMjjk0gWnvAQ=s88-c-k-c0x00ffffff-no-rj,False,False,1757891028.195891
UgzkAYjyxgh0DvxGphZ4AaABAg,Bhaai aap kaab aaao k 🥹💔 har din video check karti Hu 😭💔,16 hours ago,@usamapak-ok2jp,UCNDg3mIVDtwaqlI5oLfcZIw,1,,https://yt3.ggpht.com/ytc/AIdro_k6s3x3Sx52Ci7_TzXIUdrX1_FydhQ2WyoVEo25y94NdOmV2g4u8TIQkssk6N5z2hXrgg=s88-c-k-c0x00ffffff-no-rj,False,False,1757891028.199304
UgwWoXP-Qm4_AB16-pB4AaABAg,@ducky Bhai come back🥺 ❤,16 hours ago,@TechTalesWithIB,UCITnlwWx6AhMOagAsPtPeXw,0,,https://yt3.ggpht.com/v73Aw3ZtbB7H0awmXI5-25fVdcyquxEjkBLdr608owyHkV5X0XxrZVPDmnMgjj1NwF7OsvWKFw=s88-c-k-c0x00ffffff-no-rj,False,False,1757891028.202292
Ugys_jFB4sPQu782ICx4AaABAg,Miss You Bhaiii Allah bohat jald Sub behtar kare Ameen,16 hours ago,@muhammadsaqib7841,UCenK52VmfCgm7kzFuCmmBXg,0,,https://yt3.ggpht.com/xqEVhgYFhu7iSC5aEfV2JshTvO_VPC3aR3TiN2MNAUvvdMKafULAz0QQ5z8OfLKBQT71ZyyF=s88-c-k-c0x00ffffff-no-rj,False,False,1757891028.205109
Ugygz_wOTC_vd4TejoJ4AaABAg,Ducky bhaii bohat ache insan hai please come back,16 hours ago,@muhammadsaqib7841,UCenK52VmfCgm7kzFuCmmBXg,0,,https://yt3.ggpht.com/xqEVhgYFhu7iSC5aEfV2JshTvO_VPC3aR3TiN2MNAUvvdMKafULAz0QQ5z8OfLKBQT71ZyyF=s88-c-k-c0x00ffffff-no-rj,False,False,1757891028.207961
Ugwnax2b2wE15UpXd1B4AaABAg,Ya volg ma Roz dakh rahi hoon tab SE jab SE  saad Bhai jail ma ha I miss him Roz ma aagya bhi nhi karti Pura dakhti hoon,17 hours ago,@sdaakhter,UCM2wOF7W1L-OEXWSQWtreHA,0,,https://yt3.ggpht.com/ytc/AIdro_lBrRYw-rVck76gzLion-ugJTWlCa1zqRaiLdf4N1FncC0=s88-c-k-c0x00ffffff-no-rj,False,False,1757887428.21082
Ugx3vui1zA0Hw4blaiJ4AaABAg,Ducky bahi plz plz plz plz come back come back please please please,17 hours ago,@DSALIGAMING00,UCnBdPeI6YldrURF5pvUUCvw,0,,https://yt3.ggpht.com/c8VvigHdgD4DYaDGhjH1EdgeMoKe1Y0yk4fpiecUZbsYgGX6OJtj8vmMY1YSkAlGoByafMnusQ=s88-c-k-c0x00ffffff-no-rj,False,False,1757887428.52169
UgyIrIJ2QDVsTZRuMcV4AaABAg,Jaldi sy 9 million kar do ducky bhai ko gift den ge,18 hours ago,@AnasKamran-bn7rt,UCG-UynKUfe6UKyaG5lLzB0A,0,,https://yt3.ggpht.com/-y3_Zr5mpNGN4cnO-Qo5_qtR0c8HYusN26F3uSmj2RSwBR6mS6LSxYJgugeTb1WzwFrTKLJm=s88-c-k-c0x00ffffff-no-rj,False,False,1757883828.524862
UgzVgPlMgjppPXG2mnp4AaABAg,Miss U ❤😢,18 hours ago,@hafizanasqadri7266,UChBwbe8Lr7qMRUyTcIHiMPg,0,,https://yt3.ggpht.com/ytc/AIdro_n5YDeXGW2R1ls_TFzM-MbLswa8nB1ISw-yUQ1fBILuBAS-=s88-c-k-c0x00ffffff-no-rj,False,False,1757883828.52784
UgwCoBs6VJhfevbv33l4AaABAg,😢😢😢,18 hours ago,@HasanAli-vk9mm,UC3MWcg-Mb5w82q5tkIoHxuQ,0,,https://yt3.ggpht.com/NM4da8nmRR1j9i2AjpXXlVH94jOp9Inxyu282it3TxouJnXM4zu92RO5BuU0E_ABJwoDrbR_fg=s88-c-k-c0x00ffffff-no-rj,False,False,1757883828.530691
