app,lang,content,score,detected_lang,sentiment
Daraz,ur,ڈون لوڈ نہیں ھوتا,1,ur,negative
Daraz,ur,ډېر زبردسته دی,5,fa,positive
Daraz,ur,i love daraz,5,hr,positive
Daraz,ur,cdaq,5,so,positive
Daraz,ur,👍 and goooooooòòoòoooooòòòòooooooòoòd,5,so,positive
Daraz,ur,ھگجھخن,5,ur,positive
Daraz,ur,بہت زبردست,5,ur,positive
Daraz,ur,best app,5,fr,positive
Daraz,ur,beautiful,5,fr,positive
Daraz,ur,بہت اچھی ائپ ہے,5,ur,positive
Daraz,ur,انتھای خوبصورت appھے,5,ur,positive
Daraz,ur,yes yes,5,tr,positive
Daraz,ur,بوھد عشا,5,ar,positive
Daraz,ur,بہتر شاپنگ ایپ ہے,5,ur,positive
Daraz,ur,kamal nessa,5,fi,positive
Daraz,ur,zabrdast tajruba raha,5,id,positive
Daraz,ur,انتہائی بری خدمات ہیں ان کی، میں نے پہلا آرڈر دیا اور انھوں نے کینسل کردیا۔,1,ur,negative
Daraz,ur,ماشاء اللہ اچھی سروس ہے,5,ur,positive
Daraz,ur,آسانی ملتی ہے,4,ur,positive
Daraz,ur,not working properly,1,af,negative
Daraz,ur,زبردست بہت۔اچھا,5,ur,positive
Daraz,ur,very nice good job,4,hr,positive
Daraz,ur,بہت خوب جناب,5,ur,positive
Daraz,ur,آج تک آپ لوگو نے ون روپے میں میرا انعام نہیں نکلا,5,ur,positive
Daraz,ur,عالی,5,ar,positive
Daraz,ur,lo speed,2,it,negative
Daraz,ur,دراز میں کوئی اچھا چیز نہیں ملے گا علی ایکسپریس میں ہرچیز بھی اور اچھا بھی ملےگا,1,ur,negative
Daraz,ur,ماشاءالله اچھي ايپ ھي,5,ur,positive
Daraz,ur,اسلام علیکم، الحمدللّٰه بہت اچھی ہے، جزاک اللّه،,5,ur,positive
Daraz,ur,بہت اچھا ہے,5,ur,positive
Daraz,ur,good joob,5,so,positive
Daraz,ur,انٹرٹینمنٹ کے لئے اچھی ایپ ہے,5,ur,positive
Daraz,ur,زبردست ایپلی کیشن ہے,5,ur,positive
Daraz,ur,ماشاء اللہ، بہت اعلیٰ، خوب تر اللہ تعالیٰ آپ جزائے خیر عطاء فرمائے آمین ثم آمین یا رب العالمین,5,ur,positive
Daraz,ur,بہتر ہے,5,ur,positive
Daraz,ur,amazing app,5,tl,positive
Daraz,ur,اچھاھے,5,ur,positive
Daraz,ur,nice experience on daraz so far,5,ro,positive
Daraz,ur,زبردست ایپ ہے,5,ur,positive
Daraz,ur,آ ن لائن شاپنگ کے لیئے بہترین اپلیکیشن ھے۔,4,ur,positive
Daraz,ur,i like darás pk,5,hu,positive
Daraz,ur,عبدالرحمن,5,ar,positive
Daraz,ur,باقی سٹارز بھی دیں گے ہم اپ کو پر ۔۔۔۔۔۔۔۔۔۔۔۔,2,ur,negative
Daraz,ur,یہ کیا چیز ہںے,3,ur,neutral
Daraz,ur,behtreen,5,nl,positive
Daraz,ur,وائو,2,ar,negative
Daraz,ur,on good app working app sieves,2,af,negative
Daraz,ur,good luck,4,so,positive
Daraz,ur,ya app boht acha hai boht asan dealing payment but is ka sa product bad hain,4,id,positive
Daraz,ur,pakistan zinda abaad,5,id,positive
Daraz,ur,میراتجربہ یہ کہ دوران داراز کے علاقے ہیں انکی ڈلیوری کی وجہ سے بہت مہنگا پڑتا ہے مجھے اپنی دوکان کے لیے تقریبن ون کے جی کے پاکیٹ چاہیے تو وہ مجھے بہت مہنگے پڑہیں گے مجھے تقریبن120 کے جی چاول چاہیے تو میں یہ کس طرح منگوا سکتا ہوں اور ڈلیوری چارجز بھی کم ھو کیا ایسا ممکن ہے۔,5,ur,positive
Daraz,ur,v. nice app,5,cs,positive
Daraz,ur,عمدہ,5,ur,positive
Daraz,ur,bakwasss,1,sw,negative
Daraz,ur,بسم الله الرحمن الرحيم الحمدلله رب العالمين الرحمن الرحيم مالك يوم الدين اياك نعبد و اياك نست الله معاف فرمائيي اچهي هي.,5,ar,positive
Daraz,ur,خوب اور معیاری,5,ur,positive
Daraz,ur,ویپی,5,fa,positive
Daraz,ur,fake service,5,sl,positive
Daraz,ur,اسدالله,5,ar,positive
Daraz,ur,sania sania,5,tl,positive
Daraz,ur,irshad qazi,5,so,positive
Daraz,ur,ھگہفف,5,ur,positive
Daraz,ur,siel min ka number bhi hona chyi,5,sw,positive
Daraz,ur,اللہ پاک ںئ,5,ur,positive
Daraz,ur,رفیق۔احمد,5,ur,positive
Daraz,ur,bahot bora hai,5,id,positive
Daraz,ur,جھوٹ بہت بکتا ہے اس ایپ پر,2,ur,negative
Daraz,ur,wonderful app,5,af,positive
Daraz,ur,fake app,1,no,negative
Daraz,ur,ایک ہزار کی چیز کو دو ہزار کی لگا کر پانچ سو کا ڈسکاؤنٹ دیا ہے .... گڈ کیپ اٹ اپ 😂,3,ur,neutral
Daraz,ur,ya bohat achi hy,5,cy,positive
Daraz,ur,عوام کی بہت آسانی کا خیال رکھا گیا ہے,5,ur,positive
Daraz,ur,good deal,5,so,positive
Daraz,en,so good 👍😊,5,so,positive
Daraz,en,i just love this ❤️,5,et,positive
Daraz,en,গুড অ্যাপ,5,bn,positive
Daraz,en,"শাউয়ার অ্যাপ, অর্ডার করা যায় না, পেমেন্ট করা যায় না,,কাস্টমার সার্ভিস নাই, সামান্য কিছু অর্ডার করলেও নাকি ডেলিভারি ২১০ টাকা, ঠিক আছে মানলাম, কিন্তু অর্ডারই দেওয়া যাচ্ছে না,পেমেন্ট করা যাচ্ছে আজকে ৩ মাস, আইডিতে কোন সমস্যা নাই",1,bn,negative
Daraz,en,us ali,5,et,positive
Daraz,en,nyc...................!!!,5,pl,positive
Daraz,en,yaar install hi nahin ho rahi,5,so,positive
Daraz,en,well done 👍,5,cy,positive
Daraz,en,"আজ দারাজ এপস uninstall করে দিলাম। ফ্লাশ সেল, দারাজে জন্মদিন ৮.৮, ৯.৯ অফার ইত্যাদি নামে যা বলে ম্যাক্সিমামই ভাওতাবাজি। আগের দারাজ ভালো ছিল।",1,bn,negative
Daraz,en,good product,5,hr,positive
Daraz,en,❤️‍🔥,5,unknown,positive
Daraz,en,প্রত্যাশার চেয়ে দ্রুত পেয়ে গেছি,5,bn,positive
Daraz,en,gooooooood ggoood apppp,5,af,positive
Daraz,en,slow work markaz app best,2,pl,negative
Daraz,en,chaudhari 🤩,4,cy,positive
Daraz,en,ভাই আপনাদের মাল অনেক ভালো not interesting yaar,5,bn,positive
Daraz,en,abhi kuch perchase nhi kta,5,id,positive
Daraz,en,good app daraz,5,hr,positive
Daraz,en,daraz is good app,5,hr,positive
Daraz,en,bad app i not like,5,sv,positive
Daraz,en,pls help me i need work,4,nl,positive
Daraz,en,super site brooo alhamdulillah,5,et,positive
Daraz,en,খুব ভালো,3,bn,neutral
Daraz,en,not good,1,af,negative
Daraz,en,china sy koi order nhi a rhy delivery band ki hoi hai,1,cy,negative
Daraz,en,onik sundor,1,et,negative
Daraz,en,just theek ha,1,et,negative
Daraz,en,5ster,5,no,positive
Daraz,en,ma ney order ki net payment kr di to likan next day wahi order cancel ho giyaa abb ma kis sey baat karoo kah meri payment kon dey ga na koi live chat support system ha 🤨😖,1,id,negative
Daraz,en,"in my daraz app, i cant add new address",1,cy,negative
Daraz,en,excellent 👌👍,5,ca,positive
Daraz,en,very good,5,af,positive
Daraz,en,hafeez,5,de,positive
Daraz,en,i like it,5,sq,positive
Daraz,en,0ooo,5,so,positive
Daraz,en,পুরাই চিটিং বাজ app. 9 taka deal offer বলে একদিনেও দেই নি।,2,bn,negative
Daraz,en,jab b order place kro. ek to ata late hai. oper sa peshawar waly ajeeb drama krty hai. delivery failed ka bahna bana kr 2 3 din aur laga daity hai. call tak nhi krty aur jhot bolty hai..,1,id,negative
Daraz,en,i am order by daraz an fake delivery,1,da,negative
Daraz,en,baje,5,hr,positive
Daraz,en,daraz used to be a good place for online shopping but now unfortunately this company has become fraudulent and scammers,1,en,negative
Daraz,en,good luck,5,so,positive
Daraz,en,বাটপার এপস টাকা নিয়ে অর্ডার কনফার্ম করে তারপর টাকা ব্যাক করে দেয় প্রোডাক্ট রিটার্ন করে,1,bn,negative
Daraz,en,muzammil khan👀💖💗💕,5,sw,positive
Daraz,en,love it,5,sl,positive
Daraz,en,too good,5,so,positive
Daraz,en,"good,easy",5,cy,positive
Daraz,en,পার্সেলশিপিং রেট অনেক বেশি। 🥺,2,bn,negative
Daraz,en,very sexy,5,cs,positive
Daraz,en,so so,2,it,negative
Daraz,en,is baar to had hi ho gai 3 baar mene order kia mukhtalif products pr daraz ki taraf se cancel kr diye gay payment bhi advance acc k through ki pata ni kia waja hai in ki shayad daraz ki sellers k sath garbar ho gai hai itna to ye tax le leta hai sellers se ek ne special msg kia bhai ham ni bhej saktay,1,id,negative
Daraz,en,good bro,5,cy,positive
Daraz,en,awesome,5,af,positive
Daraz,en,koi check n balance nai hai sary scammers bhai thy hoe.. ghatiyaa cheezain bhaijty ... and nobody's taking action against them,1,en,negative
Daraz,en,.🥹🥹🥹,5,unknown,positive
Daraz,en,"such a ruthless, fake company holding app. i would never ever get into the scam of sales and vouchers. like all the voucher conditions were met, but daraz didn't let me use it for god knows what reason. if you claim for 50% discount on specific conditions, you must provide it rather than just making an error at the payment option. such a disappointment from daraz. this was an experience of trustlessness, unreliability and fraud. what a shame!",1,en,negative
Daraz,en,❤️❤️❤️,5,unknown,positive
Daraz,en,not bad,3,tl,neutral
Daraz,en,w ආ w හ රි ලස්සනයි වෙරිගුඩ්,5,unknown,positive
Daraz,en,haram khor daraz haram khor daraz k seller pori company hi haram khoro ki hai mujhe 1400 rupay ka chona lagaya hai,1,id,negative
Daraz,en,khapa choda apps eak garfata app,5,id,positive
Daraz,en,কথার সাথে কাজে মিল নেই ভন্ড দারাজ,1,bn,negative
Daraz,en,❤️‍🩹❤️‍🩹❤️‍🩹,5,unknown,positive
Daraz,en,ghatiya tareen,1,so,negative
Daraz,en,allah paak es app ko hamesha ke liye band kar de mera parcel tha return 1250 ka es darawaz walo ne nahi beja allah' garak kare ameen dusron ke paise drakht pe nahi ohte hum bhi job karte hain kamate hai allah garak kare ap jese lgon ko ko aise online kam karte ho allah' band kar de es app ko hamesha ke liye ameen,1,id,negative
Daraz,en,nice.....daraz,5,hr,positive
Daraz,en,fraud app,1,fr,negative
Daraz,en,like this app best,5,af,positive
Daraz,en,bas whatsapp no nani data apna shopping karni hoti ha,5,tl,positive
Daraz,en,"ণ ,, ন",1,bn,negative
Daraz,en,"দারাজে যদি একটাই সিস্টেম নিয়ে আসতো তাহলে আমি খুশি হব , সেটা হচ্ছে দারাজের অ্যাপে 'dark mode' সিস্টেমটা দিলে ভাল হয় । বেশিরভাগ মানুষ 'default mode' পছন্দ করে না কারণ চোখের লাগে তাই । দারাজের যদি আমার মতামত গুলোর শুনে তাইলে আমি অনেক উপকৃত হব 🥰",5,bn,positive
Daraz,en,nice 🙂,5,pl,positive
Daraz,en,xaanbddd,5,so,positive
Daraz,en,like it,5,sq,positive
Daraz,en,excellent,5,ca,positive
Daraz,en,mujy mara parcel 12 din ho gai ni recive huwa 3 say 5 din ka ino ny bola tha lakin nahi 31 august say 10 september ho gy hia lakin abhi tak ni mila it's very slow wrong information aj tak itna disheart kisi app say ni hui ma jitna draz say hui next ya galti kabhi ni hogi,1,tl,negative
Daraz,en,nice apps,5,it,positive
Daraz,en,best shopping app bd❤️👍,5,no,positive
Daraz,en,good service,5,hr,positive
Daraz,en,order,5,da,positive
Daraz,en,super,5,ro,positive
Daraz,en,order hi place nhi horha error arha hn kafi dino sa,1,cy,negative
Daraz,en,"দারাজ চিটার।।। পোডাক, ডিলিবারি মেন এরা খাইয়া লায়।।।। চোর সালারা ।।।।",1,bn,negative
Daraz,en,shukria,5,sq,positive
Daraz,en,valo,1,fi,negative
Daraz,en,bad app.,1,sv,negative
Daraz,en,একদম বাজে আজ যতসব কাজকাম এদের এর থেকে ভালো ফুটপাতের দেখে জিনিস কিনা অনেক ভালো,1,bn,negative
Daraz,en,আমাকে কিছুই ফ্রি দেয় না,5,bn,positive
Daraz,en,🥴🥴🥴🥴😰😭🥰😍,5,unknown,positive
Daraz,en,ghatiya tareen ap manhus br br isky ads ajeebbbbbb,1,sv,negative
Daraz,en,👍👍👍👍👍👍,5,unknown,positive
Daraz,en,to bad bad 😭,1,so,negative
Daraz,en,দারাজ সম্পূর্ণরূপে ফেক লাইভ গিভওয়ে করে । সম্পূর্ণরূপে প্রতারিত করছে লোকজনকে । দাম কম দেখায় আসলে তারা দাম কমায় না 😡😡😡😡😡😡😡😡😡 আমি একটা পণ্য 99 টাকায় কেনার পরেও দারাজের মেসেজে এটার সম্পূর্ণ দাম দেওয়া হয়েছে। এটা প্রতারণা নয়তো কি । দারাজের কাছে এটা প্রত্যাশিত ছিল না 😔😔,1,bn,negative
Daraz,en,valo prodakt diyen,5,sk,positive
Daraz,en,ইতিহাস সংস্কৃতি ছিল প্রশ্ন আলাদা বুঝছো মেয়ে মোহসীন লাইনে অক্ষর দাঁড়িয়ে থাকা আছে তার কিনা সেটা জানি মনে মনে হচ্ছে করেন এবং তার সেই একই থেকে পাওয়া সান্তাহার বের হয়ে টেনে কলেজ নিতে চাই এবং তার উপর ভিত্তি করে দেয় এবং নাই হয়ে করা যান এবং করা যায় করে দেয় দিন দেয় টা তোর জীবন থেকে সান্তাহার বের হয়ে করা যান গেল শুধু তার সাথে দেখা গেল শুধু আমার হোক কেন জানি সেই তাদের জন্য একটি নতুন কিছু নেই বললেই চলে আসে গেছে কাল থেকে রোজা আমি আমার সত্যি হোক কেন আসেন মুমিনুল তার উপর জন্য একটি সাথে কথা বলে কোনো কথা বলে কোন,5,bn,positive
Daraz,en,"পুরাই বাজে সস্তার তিন অবস্থা। কোন রেসপন্স নাই। মেসেজ দিতে দিতে পাগল হয়ে যেতে হয়। ফালতু, বিরক্ত বানায় ফেলে। আর কি বলবো ফালতু, বাজে। don't waste your time. its disgusting.",1,bn,negative
Daraz,en,daraz scam my 64k shame on you daraz,1,tr,negative
Daraz,en,🤑🤑🤑🤑,4,unknown,positive
Daraz,en,fake 😡😡😡😡,1,no,negative
Daraz,en,good 😊,2,so,negative
Daraz,en,khub baje ekta online market offer ar kotha bole sob somoy sobaike thokay,1,no,negative
Daraz,en,they are scammers. don't believe on their offers. totally fraud.,1,en,negative
Daraz,en,biggest e-commerce fraud of bangladesh,1,da,negative
Daraz,en,gd app,5,nl,positive
Daraz,en,দারাজে কেনাকাটা করে ভালো লাগলো,5,bn,positive
Daraz,en,good but very bad also darraz holding fraudulent sellers who easily frauded people's i have been got many time frauded by sellers ....,1,en,negative
Daraz,en,"fake ho dashain offer ko name ma luti ra ko xa 99 ,999,9999 ko offer fake ko",1,no,negative
Daraz,en,boje sone kinte parle joxx,5,sl,positive
Daraz,en,very very nice 🙂,5,cs,positive
Daraz,en,nice aap,5,ro,positive
Daraz,en,k ho dai mega sale vaneraw manch lai jhukauna pauxa. baru kati ma ho pahile vannus na manche lau etikai scam garna pauxa pahile delivery order garyo 5 dekhe 10 din ma auxa. esewa and wallet vako lai matra ho. payment first vanxa cash on delivery vaneko bela cancel hunxa muji paxi 10 din paxi samman auxa.tyo pnu kaam hudaina k ho afula products test garna sakdaina delivery vaye paxi return garne pni 7din paxi auxa.. hawa mula scam ho vanne..,1,id,negative
Daraz,en,daraz scam :kam xaen 12 bajanu vanda agadi nai baseko but price update nai dekhayan yo promotion ko lagi matar ho daraz scam tag daraz guys add to card gareko maile but prices updated nai garen maile sms gareko cmf lai but add to cart gareko automatic remove garidiyo kripay sabaile daraz scam vaner tag garnu darz lai i have proof daraz scam,1,id,negative
Daraz,en,you can trust daraz,5,ro,positive
Daraz,en,যত সুন্দর একটা অ্যাপস চট্টগ্রাম বিভাগের মধ্যে ফেনী পড়ে ওইটাই জানে না,1,bn,negative
Daraz,en,how do i give -ve stars? worst app ever,1,nl,negative
Daraz,en,best side for shopping.,5,no,positive
Daraz,en,muji scam garxa khate jasto kaam garxau khate haru offer vane rw rating badhau xau khate haru,1,id,negative
Daraz,en,uselee,1,et,negative
Daraz,en,well,5,cy,positive
Daraz,en,nice app,5,it,positive
Daraz,en,we can not add a card,1,cy,negative
Daraz,en,ভালো,5,bn,positive
Daraz,en,daraz :seller scam me .,1,it,negative
Daraz,en,superb,5,id,positive
Daraz,en,very disappointed daraz used to be a good shopping experience but now they're just fraudulent and scamming your money i'll never buy anything from daraz again,1,en,negative
Daraz,en,tnx daraz,5,id,positive
Daraz,en,নাইস এপস,5,bn,positive
Daraz,en,usefull app,5,it,positive
Daraz,en,baje and potarok app,1,hr,negative
Daraz,en,aaj 7 september 2024 abhi filhal daraz per sell chal raha hai ismein 4000 ka saman 2000 mein de raha hai aur aap normal bhi us saman ka price dekhoge to 2000 hi hai ek aur baat bahar se dekhne per 10000 dam hai to fir aapke click karoge to fir vah saman ka price 14000 price dekhne ko milega isko hi sale kaha jata hai normally aap purchase karoge to fir bhi 2000 dekhne ko milega aur discount mein vahi saman 4000 likhkar 2000 mein de raha hai 🤣🤣..,3,id,neutral
Daraz,en,excellent,5,ca,positive
Daraz,en,great,5,ro,positive
Daraz,en,not working,5,af,positive
Daraz,en,hi daraz,5,id,positive
Daraz,en,very bad,1,tr,negative
Daraz,en,সাগর,5,bn,positive
Daraz,en,hamara oder hi ni ho rha boht bar kiya he,5,so,positive
Daraz,en,আনেক ভালো,5,bn,positive
Daraz,en,dhokay baz jaga ha ya jo dikhty hn woh kabhi ni daty😡😡😡,1,so,negative
Daraz,en,nice aap!😭😍😍😊,5,nl,positive
Daraz,en,mahad ki poti zindabad,5,sw,positive
Daraz,en,zx adam,4,so,positive
Daraz,en,review's mein jo login ne pictures upload ki hoti hain wo open nahi hoti kindly is issue ko fix karein.,1,en,negative
Daraz,en,খুব ভালো লাগছে,5,bn,positive
Daraz,en,supar❤️‍🔥👍,5,id,positive
Daraz,en,alhamdulillah,5,so,positive
Daraz,en,best sopping app in bd,5,no,positive
Daraz,en,dil dil pakistan jan jan pakistan,5,id,positive
Daraz,en,best experience ever 🎀,5,fr,positive
Daraz,en,jaza marri,5,sq,positive
Daraz,en,සු ප ර් 💯,5,unknown,positive
Daraz,en,ko app in pakistan,5,tl,positive
Daraz,en,hlowww assalamualaikum yaar ap logo ny daraz sy cash on delivery ku hatam krdiii please wapis ly aynnn please pleaseee logon k pass nahi hota jazz cash aur easy piasa wegaira to sab idr sy hi krty hain pleasee ap log is chz pr goor krynnn. pleaseee wapis ly ayn cash on delivery,1,en,negative
Daraz,en,kailali ko location auna,5,tl,positive
Daraz,en,chanul remiru 2025 වාර්ෂික,5,ro,positive
Daraz,en,my daraz app is not working 😕,5,af,positive
Daraz,en,bad 😔😔😔,1,so,negative
Daraz,en,puran products de soytan,1,fr,negative
Daraz,en,rag dra sees n. h to mmk m ttyl t,2,af,negative
Daraz,en,not working well error ata h open kru tu help center open hi ni hota,1,nl,negative
Daraz,en,daraz used to be a very good place for online shopping but now it's untrustworthy and mostly sellers on daraz are fake and fraudulent and also daraz has become fraudulent and scammer as well and there's no way to refund they're just making some lame excuses and i will never ever buy anything from daraz again,1,en,negative
Daraz,en,mazaaa nhi. aaaaya,1,so,negative
Daraz,en,good!,4,so,positive
Daraz,en,good 👍😊,5,so,positive
Daraz,en,good apps ok ok,3,hr,neutral
Daraz,en,supiri,5,lt,positive
Daraz,en,amazing 😍,5,sw,positive
Daraz,en,gud online shopping,5,et,positive
Daraz,en,maru🥰🥰🥰🙊🙊🙊,5,so,positive
Daraz,en,bcuugg,5,so,positive
Daraz,en,8.8 sale mane daraz app se 88 wali order lage the 2 ek b received nhi howe lanat ha as app pr koi order thek se nhi date bs apna faida naklte ha awam se hr baar sale ke naam pr daraz app❌ froud app ✅,1,af,negative
Daraz,en,excellent service,5,fr,positive
Daraz,en,bhai wale discount copan dita hain per enter karo order hota he nh hain,1,en,negative
Daraz,en,এপস থেকে কিছু কিনতে পারছিনা,1,bn,negative
Daraz,en,"আগে ভালো ছিলো এখন সব চোর দিয়ে ভরে গেছে, ভালো কোন প্রডাক্ট নাই, বেশিরভাগ সেলাররাই চোর, ভাংগা ফাটা নষ্ট ইলেক্ট্রনিক ডিভাইস দিয়ে দেয়, ডারাজ কতৃপক্ষ কোন ব্যাবস্থা নিচ্ছে না। দারাজ এখন পচে গেছে😢💔",1,bn,negative
Daraz,en,naicc,5,it,positive
Daraz,en,best product i like it 😃,5,no,positive
Daraz,en,"অতিরিক্ত ভেলিভারি চার্জ এই প্রতিষ্ঠান কে ধংসের দিকে ঢেলে দিয়েছে । অথচ আমার দেখা ২০১৮ থেকে ২০২২ সাল নাগাদ বাসায় নিচে রাস্তায় প্রতিদিন কয়েকবার সাইকেল আরোহী, মটরবাইক্ আরোহী আর মাঝেমধ্যে পিকআপ ভ্যানে দারাজের দাপট ছিল ।",1,bn,negative
Daraz,en,very goodness,4,af,positive
Daraz,en,daraz application khatam hai service inki nakammi aur sust hai agent in ke dramey baaz hain jhooti tasalliye detey hain aur delivery charges barha diye hain saari kasar delivery pe nikaal lety hain...😖😡👎🏻👎🏽👎🏻👎🏽,1,id,negative
Daraz,en,পুরা মার্কেট বিশ্বটা হাতের মুটোয় চলে এসেছে। ধন্যবাদ দারাজকে,5,bn,positive
Daraz,en,not bad very gooooooooooooood,4,af,positive
Daraz,en,awadome,5,so,positive
Daraz,en,"guys, this organization is completely a fraud. they take payment, don't deliver item, update the status of delivered and they don't accept any comments from their customer. to them their customer is coward. i fully declare this organization a big online fraud.",1,en,negative
Daraz,en,pakistan online shopping app,4,tl,positive
Daraz,en,nice 👍,5,pl,positive
Daraz,en,super app,5,it,positive
