app,lang,content,score
Daraz,ur,ایپ گیم کیوں اس کو کھلنے سے کیا فایدہ ھے,3
Daraz,ur,بہت شکریہ,5
Daraz,ur,zabar dast app,5
Daraz,ur,Nice,5
Daraz,ur,As,5
Daraz,ur,اعلی,5
Daraz,ur,سلیم اللّٰہ خان,5
Daraz,ur,good,5
Daraz,ur,good,5
Daraz,ur,best &good service 👌,5
Daraz,ur,First time home buyer but this app is very importance and the kids will be here for you and the family are both is a very so thankful for you and best wishes 😌,1
Daraz,ur,Daraz is the best app I have ordered a lot before and the delivery was also very good But the last seven items caused a lot of trouble Because that delivery boy did not send the order to my address And was telling elsewhere That's why I got worried The rest of the daraz app is good,5
Daraz,ur,good,5
Daraz,ur,Behtareen sahoolat hai,5
Daraz,ur,Feedback,5
Daraz,ur,ماشاءاللہ بہت اچھی سہولت ہے,5
Daraz,ur,Naiss,5
Daraz,ur,best,5
Daraz,ur,بہت گندی ایپ,1
Daraz,ur,Very good app l like it but my draz app oppen in problem please help me,5
Daraz,ur,MENE PAELI BAR MANGAWA HAI YE BHUAT HE ACHA APP HAI,1
Daraz,ur,زبردست,5
Daraz,ur,اسلام علیکم ، محترم ، بہت اچھا کام کر رہے ہیں ، جزاک اللّه، لیکن پہلے (دس روپے) لیتے تھے لیکن اب (تیس روپے) لیتے ہیں اس کی سمجھ نہیں آئی کہ کیوں لیتے ہیں ، جزاک اللّه ،,5
Daraz,ur,اچھی چیز ہے,5
Daraz,ur,Good,5
Daraz,ur,Nice app,5
Daraz,ur,good,1
Daraz,ur,5 star,5
Daraz,ur,Nice,5
Daraz,ur,nice,2
Daraz,ur,بہت زبردست ہے,5
Daraz,ur,Nice,5
Daraz,ur,Very nice 💞🙂 App,5
Daraz,ur,Good,5
Daraz,ur,abi pahla aorder hay. chalaney k bad pta chaley ga.,5
Daraz,ur,good,5
Daraz,ur,Good,5
Daraz,ur,بہترین,5
Daraz,ur,ok,5
Daraz,ur,بہت اچا,4
Daraz,ur,باقی اچھا نظام ہے مگر اکثر چیزوں کا اوپر فری ڈیلیوری لکھ رکھا ہے جبکہ ڈیلیوری فیس پوری چارج کرتے ہیں اگر یہ فراڈ ختم ہوجائے تو اچھا ہوگا,5
Daraz,ur,Very nice,5
Daraz,ur,good,5
Daraz,ur,سمیع بھائی عسلا م علیکم,5
Daraz,ur,good,5
Daraz,ur,Best App,5
Daraz,ur,اچھا,5
Daraz,ur,بہت خوب,5
Daraz,ur,I love,5
Daraz,ur,‌‍ زبردست,5
Daraz,ur,very big many many lakhs,5
Daraz,ur,بہترین,5
Daraz,ur,nic,5
Daraz,ur,بہت عمدہ,5
Daraz,ur,دراز والوں سے گزارش ہیکہ تاجر حضرات کیلئے ہول سیل کی سہولت بھی میسر فرمائیں,5
Daraz,ur,abhi to maine start kya Hai,5
Daraz,ur,ach hi,5
Daraz,ur,zabrdst,5
Daraz,ur,buhut ache,5
Daraz,ur,Wah,5
Daraz,ur,Mashallha good 👍,5
Daraz,ur,very Good,5
Daraz,ur,دراز سے شکایت ہے اسے صرف کسٹمر کا موبائل نمبر پر آڈر بک کرلینا چاہیے ۔مجھے ملٹی کلر لائٹس کی ضرورت ہے اسے حل کیجئے ۔۔۔,5
Daraz,ur,Very good 👍,5
Daraz,ur,mashaallah good work,5
Daraz,ur,good,5
Daraz,ur,Good 😊👍♥️🇵🇰,5
Daraz,ur,پہ زڑگی پوری ❤️,5
Daraz,ur,ماشاللھ بخیرتی کی انتھا,4
Daraz,ur,بطچ,1
Daraz,ur,Very good app,5
Daraz,ur,good,5
Daraz,ur,ok,5
Daraz,ur,bahut Achcha hai,5
Daraz,ur,Draz are the best stage for online shopping.,5
Daraz,ur,Nice,5
Daraz,ur,",❤️❤️❤️❤️❤️",5
Daraz,ur,abhi tak kuch nahi pata,5
Daraz,ur,I like this app but kabhi kabhi mistake hojati hai so I take this app 3 stars,3
Daraz,ur,امید کرتا ہوں جو منگویا ہے وہی اے گا,5
Daraz,ur,Good,5
Daraz,ur,good,1
Daraz,ur,good app,5
Daraz,ur,Good,5
Daraz,ur,good,5
Daraz,ur,Very Good Shopping Mall Platform,5
Daraz,ur,Good,5
Daraz,ur,دراز زبردست ایپ ھے سب کچھ زبردست کوالٹی آئٹم موجود ہیں,5
Daraz,ur,ھمیشہ خوشں رھو,4
Daraz,ur,5.G,5
Daraz,ur,ٹھیک,1
Daraz,ur,اچھی ایپ ھے,5
Daraz,ur,good,5
Daraz,ur,Behteeen dong machine,5
Daraz,ur,سب تھیم واپس کرے شکریہ,1
Daraz,ur,"No SOP for ""Sellers"" they can send fake items using ""Daraz""",1
Daraz,ur,Don't install this aap don't buy online shopping center stay away on daraz online aap save your money and save your time 1 rupee game fake aanousment plzzzzz don't install this aap adnan Ali ka gift dein😡😡😡😡😡,1
Daraz,ur,Shopping,3
Daraz,ur,بہت خوب,5
Daraz,ur,اچھی ہے,5
Daraz,ur,کیوٹ,5
Daraz,ur,بہترین سروس,5
Daraz,ur,زبردست کام کر رہا ہے,5
Daraz,ur,Very good,1
Daraz,ur,بہت اچھا بہترین good,5
Daraz,ur,بہت اچہا,5
Daraz,ur,زبردست,5
Daraz,ur,Achi zap ha,5
Daraz,ur,Achii app hai,5
Daraz,ur,Zabardast,5
Daraz,ur,ڈون لوڈ نہیں ھوتا,1
Daraz,ur,Best customer service,5
Daraz,ur,Good,5
Daraz,ur,Thanks Daraz you solved the urdu language compatibility problem thumb up to developer and daraz once again. some minor text overlapping issues are but overall it is one and only best app and online shopping services in Pakistan.,5
Daraz,ur,ډېر زبردسته دی,5
Daraz,ur,Good,5
Daraz,ur,Good,5
Daraz,ur,بہترین,5
Daraz,ur,I love daraz,5
Daraz,ur,good,5
Daraz,ur,Nice,5
Daraz,ur,اچھی ہے,5
Daraz,ur,Cdaq,5
Daraz,ur,👍 and goooooooòòoòoooooòòòòooooooòoòd,5
Daraz,ur,👌,3
Daraz,ur,ھگجھخن,5
Daraz,ur,Zabardast,5
Daraz,ur,بہت زبردست,5
Daraz,ur,Can't get my orders many time courier man is lazy ...,5
Daraz,ur,Good,5
Daraz,ur,Good,5
Daraz,ur,Nice crickets,5
Daraz,ur,Best app,5
Daraz,ur,Beautiful,5
Daraz,ur,بہت اچھی ائپ ہے,5
Daraz,ur,انتھای خوبصورت appھے,5
Daraz,ur,Good,5
Daraz,ur,Yes yes,5
Daraz,ur,Good,5
Daraz,ur,بوھد عشا,5
Daraz,ur,بہتر شاپنگ ایپ ہے,5
Daraz,ur,Kamal nessa,5
Daraz,ur,بہترین,5
Daraz,ur,Good,5
Daraz,ur,Nice,5
Daraz,ur,Handsomely usefull,5
Daraz,ur,5 star,5
Daraz,ur,Zabrdast tajruba raha,5
Daraz,ur,انتہائی بری خدمات ہیں ان کی، میں نے پہلا آرڈر دیا اور انھوں نے کینسل کردیا۔,1
Daraz,ur,Good app I like this app this is so good,5
Daraz,ur,Low quality products..!,1
Daraz,ur,ماشاء اللہ اچھی سروس ہے,5
Daraz,ur,آسانی ملتی ہے,4
Daraz,ur,not working properly,1
Daraz,ur,زبردست بہت۔اچھا,5
Daraz,ur,"Pictures not visible for many products.. also, when installed the app is named ""lazandroid_myaccount"". The develope never bothered to fix the name of the app lol.",1
Daraz,ur,Wow,5
Daraz,ur,Very nice good job,4
Daraz,ur,بہت خوب جناب,5
Daraz,ur,آج تک آپ لوگو نے ون روپے میں میرا انعام نہیں نکلا,5
Daraz,ur,عالی,5
Daraz,ur,Lo speed,2
Daraz,ur,اعلی,5
Daraz,ur,دراز میں کوئی اچھا چیز نہیں ملے گا علی ایکسپریس میں ہرچیز بھی اور اچھا بھی ملےگا,1
Daraz,ur,ماشاءالله اچھي ايپ ھي,5
Daraz,ur,good,5
Daraz,ur,اسلام علیکم، الحمدللّٰه بہت اچھی ہے، جزاک اللّه،,5
Daraz,ur,بہت اچھا ہے,5
Daraz,ur,Good joob,5
Daraz,ur,انٹرٹینمنٹ کے لئے اچھی ایپ ہے,5
Daraz,ur,Very good experience 😊,5
Daraz,ur,Umm pretty good,4
Daraz,ur,زبردست ایپلی کیشن ہے,5
Daraz,ur,Good,5
Daraz,ur,ماشاء اللہ، بہت اعلیٰ، خوب تر اللہ تعالیٰ آپ جزائے خیر عطاء فرمائے آمین ثم آمین یا رب العالمین,5
Daraz,ur,بہتر ہے,5
Daraz,ur,Amazing app,5
Daraz,ur,اچھاھے,5
Daraz,ur,زبردست,5
Daraz,ur,Nice experience on daraz so far,5
Daraz,ur,nice nice nice nice for shopping shopping nice,5
Daraz,ur,زبردست ایپ ہے,5
Daraz,ur,Nice,5
Daraz,ur,Huu,5
Daraz,ur,Purchasing fist time. Let c,5
Daraz,ur,Bht zabardast platform hy shopping k liy,5
Daraz,ur,Good,5
Daraz,ur,Good,5
Daraz,ur,آ ن لائن شاپنگ کے لیئے بہترین اپلیکیشن ھے۔,4
Daraz,ur,I Like darás pk,5
Daraz,ur,Very good,5
Daraz,ur,عبدالرحمن,5
Daraz,ur,Good,5
Daraz,ur,باقی سٹارز بھی دیں گے ہم اپ کو پر ۔۔۔۔۔۔۔۔۔۔۔۔,2
Daraz,ur,Very nice,5
Daraz,ur,Its easy to order and good app,5
Daraz,ur,Vip,5
Daraz,ur,یہ کیا چیز ہںے,3
Daraz,ur,زبردست,5
Daraz,ur,خوب,5
Daraz,ur,Nice app,5
Daraz,ur,Behtreen,5
Daraz,ur,Nice app Thank you daraz But he slow ORF system,5
Daraz,ur,وائو,2
Daraz,ur,Not working properly in ORF system,1
Daraz,ur,Nice app,5
Daraz,ur,On Good app working app sieves,2
Daraz,ur,Good,5
Daraz,ur,Good luck,4
Daraz,ur,Ya app boht acha hai boht asan dealing payment but is ka sa product bad hain,4
Daraz,ur,Pakistan zinda abaad,5
Daraz,ur,Zabardast,5
Daraz,ur,میراتجربہ یہ کہ دوران داراز کے علاقے ہیں انکی ڈلیوری کی وجہ سے بہت مہنگا پڑتا ہے مجھے اپنی دوکان کے لیے تقریبن ون کے جی کے پاکیٹ چاہیے تو وہ مجھے بہت مہنگے پڑہیں گے مجھے تقریبن120 کے جی چاول چاہیے تو میں یہ کس طرح منگوا سکتا ہوں اور ڈلیوری چارجز بھی کم ھو کیا ایسا ممکن ہے۔,5
Daraz,ur,Daraz should see the messages alerts. The deleted messages should be removed instead of reloading every time. Also provide the global command for All Messages READ / DELETE. It is so boring to see all the messages or deleting one by one specially the Ads. Secondly why every time there is a message generated when we open a product page or just have a look the options of order prior to finalize the payment. And usually a message appears that only 30 more minutes are remaining ... Please remove,3
Daraz,ur,V. Nice app,5
Daraz,ur,عمدہ,5
Daraz,ur,Bakwasss,1
Daraz,ur,Very well I trust it.,5
Daraz,ur,بسم الله الرحمن الرحيم الحمدلله رب العالمين الرحمن الرحيم مالك يوم الدين اياك نعبد و اياك نست الله معاف فرمائيي اچهي هي.,5
Daraz,ur,خوب اور معیاری,5
Daraz,ur,Good,5
Daraz,ur,ویپی,5
Daraz,ur,Your new version of daraz app is very disturbing and mindtroubling and a man needs alot of patience to use this version plz improve your version for customers facility.,1
Daraz,ur,Fake service,5
Daraz,ur,good online shopping app,5
Daraz,ur,"Very bad update , after i update this i didn't see any picture of product ,and also didn't see seller shop picture , there is many issues in update please quickly solve them",1
Daraz,ur,best,5
Daraz,ur,qq m BMW and Audi the first time since I was thinking that the first of the same place as last year in a while ago and tomorrow night at the only one that can help you to be a,5
Daraz,ur,Nice,5
Daraz,ur,اسدالله,5
Daraz,ur,sania sania,5
Daraz,ur,Irshad Qazi,5
Daraz,ur,ھگہفف,5
Daraz,ur,siel min ka number Bhi hona chyi,5
Daraz,ur,اللہ پاک ںئ,5
Daraz,ur,رفیق۔احمد,5
Daraz,ur,bahot bora hai,5
Daraz,ur,جھوٹ بہت بکتا ہے اس ایپ پر,2
Daraz,ur,بہت اچھا ہے,5
Daraz,ur,Very good nice,5
Daraz,ur,wonderful app,5
Daraz,ur,fake app,1
Daraz,ur,ایک ہزار کی چیز کو دو ہزار کی لگا کر پانچ سو کا ڈسکاؤنٹ دیا ہے .... گڈ کیپ اٹ اپ 😂,3
Daraz,ur,Its very good,5
Daraz,ur,Nice,5
Daraz,ur,Ye App Store jaldi open hi nhi hota aur agr open hojata hai to wish list mein janay k liye bar bar account mangta hai face book say account Conact karo to nhi hota is liye i don't shor this app,2
Daraz,ur,Ya bohat achi hy,5
Daraz,ur,عوام کی بہت آسانی کا خیال رکھا گیا ہے,5
Daraz,ur,Thanks,5
Daraz,ur,Good deal,5
Daraz,en,very bad one i buy something else and they sent another items couple of times it happened with me i uninstalled it.,1
Daraz,en,Good,5
Daraz,en,so good 👍😊,5
Daraz,en,I liked very much anything I want I order from it no need to go anywhere there is very fast delivery 🚚,5
Daraz,en,I just love this ❤️,5
Daraz,en,great app,5
Daraz,en,গুড অ্যাপ,5
Daraz,en,very app low prices shipping details,5
Daraz,en,"শাউয়ার অ্যাপ, অর্ডার করা যায় না, পেমেন্ট করা যায় না,,কাস্টমার সার্ভিস নাই, সামান্য কিছু অর্ডার করলেও নাকি ডেলিভারি ২১০ টাকা, ঠিক আছে মানলাম, কিন্তু অর্ডারই দেওয়া যাচ্ছে না,পেমেন্ট করা যাচ্ছে আজকে ৩ মাস, আইডিতে কোন সমস্যা নাই",1
Daraz,en,good,5
Daraz,en,"Used to be good. But not anymore. Full of fake promotions with stupid vouchers. Shows one price, once added to cart it's another price. Happiness heros are not even seen a school or basic education not to understand a single issue customers are facing. Their only solution is to wait 48hrs after reinstalling the app which is hilarious",1
Daraz,en,the best shopping app ever,5
Daraz,en,Us Ali,5
Daraz,en,NYC...................!!!,5
Daraz,en,very harmful ads,1
Daraz,en,very good app online shopping love you Thanks draz app,5
Daraz,en,Yaar install hi nahin ho rahi,5
Daraz,en,it's interesting,5
Daraz,en,Well done 👍,5
Daraz,en,"আজ দারাজ এপস uninstall করে দিলাম। ফ্লাশ সেল, দারাজে জন্মদিন ৮.৮, ৯.৯ অফার ইত্যাদি নামে যা বলে ম্যাক্সিমামই ভাওতাবাজি। আগের দারাজ ভালো ছিল।",1
Daraz,en,pick up point ar option oi nai,1
Daraz,en,good product,5
Daraz,en,❤️‍🔥,5
Daraz,en,প্রত্যাশার চেয়ে দ্রুত পেয়ে গেছি,5
Daraz,en,Excellent place to purchase accessories that I need. Sometime those offer from Daraz become handy. Overall good experience except few occasions.,5
Daraz,en,gooooooood ggoood apppp,5
Daraz,en,Slow work Markaz app best,2
Daraz,en,chaudhari 🤩,4
Daraz,en,easy to buy online. and order cancellation process with refunding money. seems like daraz protects and care for its users. thank you.,5
Daraz,en,nice,4
Daraz,en,nice,5
Daraz,en,ভাই আপনাদের মাল অনেক ভালো not interesting yaar,5
Daraz,en,it's amazing! best dupes and products every single thing and lots of variety,5
Daraz,en,Photos in product reviews are not loading. Customer care chat is also buggy. App is totally a trash! However the daraz platform is good. Buggy app is the only problem.,2
Daraz,en,abhi kuch perchase nhi kta,5
Daraz,en,good app daraz,5
Daraz,en,daraz is good app,5
Daraz,en,This app is my favourite apss,5
Daraz,en,"My experience is very good, Because This apps Is very Helpful In our country.when I need another Products. When I order From here. So Daraz shows is good 👍.One day I needed To Another products. when,where haven't I got Another's products. So I can say, This apps is good for our buy. I want to say Bangladeshi person And Another's country person. When you Have to need Expensive, Normal, Hight,Medium Products. So You can buy product From here. again I want to say you. this app is good.thank you.",5
Daraz,en,Pictures of reviews never open,1
Daraz,en,bad app I not like,5
Daraz,en,pls help me I need work,4
Daraz,en,why this app is not downloading 😡😡😡😡😡😡😡,1
Daraz,en,third class brand ha ye daraz,1
Daraz,en,Good,5
Daraz,en,super site brooo alhamdulillah,5
Daraz,en,খুব ভালো,3
Daraz,en,not good,1
Daraz,en,"The search function is totally busted shows one page can show 6 products, and 5 of them are irrelevant of what i searched for it no that the searched product is unavailable ill just have scroll 5 times more which deafeats the online shopping. this is a disgusting business practice or the developers of the app are very incompetent.",1
Daraz,en,"average goods are not bad at all, delivery is delayed.",3
Daraz,en,China sy koi order nhi a rhy delivery band ki hoi hai,1
Daraz,en,Its good,5
Daraz,en,nice to meet you,2
Daraz,en,good,2
Daraz,en,it's good,5
Daraz,en,daraz er theke emon kichu kokhonoi asha kori nai. er age daraz theke order refund voucher use korechi kintu kono validity time chilo na. but eibar validity time dilo. 11.13 am Kemon validity time amake ektu bujhan. tao kono notifiction chara! amar tkr refund er abar valodity kiser!!! amar 1000+ tk apnara mere disen.,1
Daraz,en,onik sundor,1
Daraz,en,Just theek ha,1
Daraz,en,5ster,5
Daraz,en,nice,1
Daraz,en,ma ney order ki net payment kr di to likan next day wahi order cancel ho giyaa abb ma kis sey baat karoo kah meri payment Kon dey ga na koi live chat support system ha 🤨😖,1
Daraz,en,"in my daraz app, i cant add new address",1
Daraz,en,excellent 👌👍,5
Daraz,en,very good,5
Daraz,en,good,5
Daraz,en,Hafeez,5
Daraz,en,"Such extreme vulgarity happens during the call, and suddenly John Aid pops up — I really hate this app.""",1
Daraz,en,i like it,5
Daraz,en,"Absolute garbage, Scam offers. In their recently anniversary campaign they gave some offers but infact none of them were claimable. I tried everyday at exact time to get those offers yet none were available. those offers vanish the moment they come out. some time they don't even come out and OMG the delivery charges it's outrageous.",1
Daraz,en,0ooo,5
Daraz,en,পুরাই চিটিং বাজ app. 9 taka deal offer বলে একদিনেও দেই নি।,2
Daraz,en,jab b order place kro. ek to ata late hai. oper sa peshawar waly ajeeb drama krty hai. delivery failed ka bahna bana kr 2 3 din aur laga daity hai. call tak nhi krty aur jhot bolty hai..,1
Daraz,en,good,5
Daraz,en,I am order by daraz an fake delivery,1
Daraz,en,wow that's amazing.,5
Daraz,en,achi app ha,5
Daraz,en,ok,5
Daraz,en,baje,5
Daraz,en,daraz used to be a good place for online shopping but now unfortunately this company has become fraudulent and scammers,1
Daraz,en,good luck,5
Daraz,en,বাটপার এপস টাকা নিয়ে অর্ডার কনফার্ম করে তারপর টাকা ব্যাক করে দেয় প্রোডাক্ট রিটার্ন করে,1
Daraz,en,Muzammil khan👀💖💗💕,5
Daraz,en,dazaz is the real or fake ha ke,5
Daraz,en,Love it,5
Daraz,en,maximum products are defective and some are useless daraz should improve seller service for delivering well products,1
Daraz,en,too good,5
Daraz,en,"good,easy",5
Daraz,en,"experience is ready very bad, Because the pictures uploaded in customer reviews are never opened.",1
Daraz,en,পার্সেলশিপিং রেট অনেক বেশি। 🥺,2
Daraz,en,nice,5
Daraz,en,daraz app ISS a best,5
Daraz,en,I think I want to install this all time 😉,4
Daraz,en,best I don't even wanna say anything,5
Daraz,en,bad ads come in imo,1
Daraz,en,free Shipping,1
Daraz,en,very nice,5
Daraz,en,very sexy,5
Daraz,en,🤑 100 % price wadi,1
Daraz,en,So so,2
Daraz,en,"delivery charge 150 BDT is mind blowing, it was only 60-80 just 2 years ago...i wanted to order few things but changed my mind bcz of the delivery fee, i would rather go to the market and buy. very slow speed on the app, needs much time to load the pictures in the reviews, and the app looks like a website, not like an app. not good enough.",2
Daraz,en,Is baar to had hi ho gai 3 baar mene order kia mukhtalif products pr daraz ki taraf se cancel kr diye gay payment bhi advance acc k through ki pata ni kia waja hai in ki shayad daraz ki sellers k sath garbar ho gai hai itna to ye tax le leta hai sellers se ek ne special msg kia bhai ham ni bhej saktay,1
Daraz,en,highly recommend,5
Daraz,en,good shopping platform,5
Daraz,en,nice,4
Daraz,en,Good,5
Daraz,en,Dis is a butfull app in Daraz,5
Daraz,en,good bro,5
Daraz,en,Awesome,5
Daraz,en,koi check n balance nai hai sary scammers Bhai thy hoe.. ghatiyaa cheezain bhaijty ... and nobody's taking action against them,1
Daraz,en,very good,5
Daraz,en,very good,5
Daraz,en,.🥹🥹🥹,5
Daraz,en,The Customer Reviewd images takes long time to load. please fix that bug,2
Daraz,en,"I'm shopping with DARAZ since last 7 years.with each passing day its customers care service and quality of its sellers is going down.recently they have started using vulgar substance in their ads which is embarrassing while watching these ads with family, but despite repeated complaints DARAZ is not bothered about these.Hence I am thinking of quitting DARAZ.",2
Daraz,en,this is good app,5
Daraz,en,daraz app is good apps,5
Daraz,en,Good,5
Daraz,en,"Such a ruthless, fake company holding app. I would never ever get into the scam of sales and vouchers. Like all the voucher conditions were met, but Daraz didn't let me use it for God knows what reason. If you claim for 50% discount on specific conditions, you must provide it rather than just making an error at the payment option. Such a disappointment from daraz. This was an experience of trustlessness, unreliability and fraud. what a shame!",1
Daraz,en,𝗛𝗜,5
Daraz,en,❤️❤️❤️,5
Daraz,en,this app is so good and good products 💖💖💖,5
Daraz,en,bohot hi delay aur bakwas service he 2 bar order kiye 2 bar order delay hogae customer care se contact karo toh no response only A.i generated repeated replies ... really disappointing experience,1
Daraz,en,not bad,3
Daraz,en,w ආ w හ රි ලස්සනයි වෙරිගුඩ්,5
Daraz,en,Haram khor Daraz Haram khor Daraz k seller pori company hi Haram khoro ki Hai Mujhe 1400 rupay ka chona lagaya Hai,1
Daraz,en,khapa choda apps eak garfata app,5
Daraz,en,"I am deleting this app and not going to install it again. This app has so annoying feature that whenever I want it to be closed it always ask whether I am sure to exit app? This makes it so disgusting also whenever I mistakenly click on daraz ad it makes me open and while exit sometimes it asks whether I am sure to exit or sometimes even I press ""Yes"" never the less it still resumes the app.",1
Daraz,en,কথার সাথে কাজে মিল নেই ভন্ড দারাজ,1
Daraz,en,not good,1
Daraz,en,❤️‍🩹❤️‍🩹❤️‍🩹,5
Daraz,en,very slow and hanging app. can't be used properly,1
Daraz,en,good,5
Daraz,en,good..🥵 ummahhhhhhhh...🌝💔 @inconnect_girl_ tiktok flw me,3
Daraz,en,"Daraz is a leading online marketplace offering an extensive range of products, from electronics to fashion, at great prices. The user-friendly interface makes shopping a breeze, and delivery is typically fast and reliable. 😶‍🌫️",5
Daraz,en,ghatiya tareen,1
Daraz,en,Allah paak es app ko hamesha ke liye band kar de mera parcel tha return 1250 ka es darawaz walo ne nahi beja Allah' garak kare ameen dusron ke paise drakht pe nahi ohte hum bhi job karte hain kamate hai Allah garak kare ap jese lgon ko ko aise online Kam karte ho Allah' band kar de es app ko hamesha ke liye ameen,1
Daraz,en,"I am not able to place orders, and the support says to wait for 24 hours. if the issue is not resolved, then wait for 7 days. hopefully, it will be resolved. what the hell is this?",1
Daraz,en,why can't I transfer money to back yo my easypaise from daraz waller after refund? it's my money not yours!,1
Daraz,en,this is a very good application very amazing and fantastic application amazing its application very osm application 😶‍🌫️,2
Daraz,en,me ny aik order kya charger aik wo use nekla uper sy retur request dale to automatically canncle be ho gye not recommended please be safe,1
Daraz,en,good app,5
Daraz,en,good,5
Daraz,en,good,5
Daraz,en,nice app fast items delivered on the way to fast work,5
Daraz,en,nice.....Daraz,5
Daraz,en,all products are useless,1
Daraz,en,fraud app,1
Daraz,en,"This app is really great! I have benefited a lot from it. Once you start using it, you will feel really happy😶‍🌫️",5
Daraz,en,"Daraz has been a very disappointing experience. Communication is extremely poor and customer requirements are never fully filled. I purchased products from sellers that turned out to be fake, yet no action was taken against those sellers. Customer satisfaction is clearly not a priority here. Even when we leave reviews, Daraz only highlights 3 or 4 star ratings, instead of showing the real customer issues. Totally unacceptable. I do not recommend this platform unless Daraz..",1
Daraz,en,"Daraz is overall a great app and I use it regularly for household and office shopping. But there are two issues: 1) Customer review images don’t open, only the small preview shows which makes it hard to trust products. 2) The search engine needs improvement — it shows too many irrelevant items while top-selling, high-rated ones get buried. These two things should be fixed for a smoother experience.",4
Daraz,en,like this app best,5
Daraz,en,easy to use. fast delivery,5
Daraz,en,bas WhatsApp no nani data APNA shopping karni Hoti ha,5
Daraz,en,fake app how in photo and how in real life shocking don't trust on this app,2
Daraz,en,"ণ ,, ন",1
Daraz,en,Photo and videos in review section are not opening!,3
Daraz,en,"দারাজে যদি একটাই সিস্টেম নিয়ে আসতো তাহলে আমি খুশি হব , সেটা হচ্ছে দারাজের অ্যাপে 'Dark mode' সিস্টেমটা দিলে ভাল হয় । বেশিরভাগ মানুষ 'Default mode' পছন্দ করে না কারণ চোখের লাগে তাই । দারাজের যদি আমার মতামত গুলোর শুনে তাইলে আমি অনেক উপকৃত হব 🥰",5
Daraz,en,good,5
Daraz,en,"Upon opening the parcel at the courier’s office in Chaman, I was shocked to find that the SSD I ordered was missing. The package only contained the warranty card and some empty boxes. I believed the service for such a high value delivery but it made me so disappointed",1
Daraz,en,very bad it was shown that a flash deal is going on so I ordered something and it got cancelled for the fakest reason ever,1
Daraz,en,Very bad experience .,1
Daraz,en,worst app,1
Daraz,en,"Worst quality at sky rocketing prices. Prices of same item vary upto 100k, smart phones for instance. Not recommended for shopping.",1
Daraz,en,For the last few months I can't update or change my address book. Please fix this.,2
Daraz,en,Nice 🙂,5
Daraz,en,"Customer service is very slow and unhelpful, couriers lie about attempting deliveries, sellers are not vetted and scam products are everywhere",1
Daraz,en,nice,5
Daraz,en,good for Bangladesh ❤️‍🩹❤️‍🩹,5
Daraz,en,xaanbddd,5
Daraz,en,Daraz app has no Dark mode theme option. it must be added as it literally basic option for any app or website 😕. i gave 1 star not because of this app is bad or anything else. please add this feature i mentioned. 😁🙂. I hope it will be added soon and i will delete the review and repost with 5 star.,1
Daraz,en,Never imagined that this kind of app and service will exist in Bangaldesh ! love it,5
