text,sentiment
bakwas ha ye old wala bhot acha tha itna slow ha .bar bar apne ap logout ho jata ha samgh he nhi lag rahi kia masla ha no lekho to login nhi ho raha it's not working kia bakwaas ha,negative
teruk gila app ni dah bayar order kata 30-50 minit lepas tu 1 jam 30 minute dia sidai aku macam bodoh siak cs tak funtion langsung nak cancel tak boleh teruk gila app ni perghh,negative
کاروباری شوق,positive
to bad bad 😭,negative
🤑🤑🤑🤑,positive
গুষ্টি চুদি,negative
always good,positive
بہت بہت اچھا ہے 😀,positive
ديدي واندريف احسن منهم,negative
kub valo,positive
"ڈکی بھائی میں نے سنا آپ اریسٹ ہو گئے ہو 
تو کل کا ولاگ کیسے ڈالو گے 🤔",neutral
کریم موٹر,negative
my best app i am use,positive
i shop here.,positive
suzuki wagnar,positive
on good app working app sieves,negative
gd app,positive
ر34ماشاءاللہ چگ ط کی ر34بء0f,positive
السائق كان خلوق جدا والرحلة ممتعة,positive
nice aap,positive
best.,positive
nice aap!😭😍😍😊,positive
fasi,positive
funcy,positive
اللہ نگہبان,positive
awsome,positive
اسلام علیکم سعد بھائ جان میں حیبر پحتون نحوا کے علاقے بونیر سے تعلق رکھنے والا ہوں میرا اپ سے ایک عاجزانہ درحواست ہے یہاں بونیر میں سیلاب ایا ہوا ہے اور بہت ہی حطرناک قسم کا سیلاب ہے اس سیلاب میں تقریبا 210 لوگ شہید ہوے ہے اور بہت ہی لوگ ابھی تک لاپتہ اور کروڑوں کا نقصآن ہوا ہے پاکستان کی تاریح میں ایسا سیلاب کھبی نہیں ایا ہوگا  بہت سے لوگوں کے گھریں زمینوں تلے لوگوں کے ساتھ دفن ہوچکا ہے اور تقریبا ایک گھر میں 28 افراد اور ہر دوسری گھر میں 5 یا 6 افراد شہید ہوچکے ہے اللہ کی طرف سے ایک ازمائش تھا مگر لوگوں کے گھر ابھی موجود نہیں ہے اور ہم سب ملکر ان لوگوں کی مدد کریں گے یقینا اپکو اس واقع کا علم ہوگا اگر علم نہیں ہے تو میں نے اپکو بطور زمہ دار انسان /مسلمان اگاہ کرلیا کیونکہ اپ لوگ  سوشل میڈا کے بدولت ان ضرورت مند کی مدد کی جاسکتے ہے  اور یہ دن ہر کسی پر اسکتا ہے اسلے اپ سے عاجزانہ درحواست ہے کہ اگر اپ مدد کرنا چاہتا ہے تو مجھ سے رابطہ کرسکتا ہے میں اپکو مزید اگاہ کرسکتا ہوں,neutral
یہ نہیں ٹھیک,negative
nice 💖,positive
تمام قرض دینے والی ایپ 7دن کا 10000 ہزار روپے کا سود 2300وصول کرتے ھیںی اور جاز کیش 7دن کا5000 ہزار کی کمیشن صرف240روپے لیتے ہیں تو دوستو آ پ ہود سمجدار ہو،,positive
ڈرئیور,negative
vari naic app,positive
good👌,positive
"sucks,",negative
not bad 😞,positive
masha allah,positive
mira balans transfer zyada karia shukriya,negative
برنامج سئ جدا ظهر عندي الكبتن في الماب بأنه وصل ولي ٥ دقايق ابحث عنه ولم أجده وبعد ٥ دقائيق تم الغاء الرحله وجاني خصم ٥ ريال,negative
perfect 🥰❤️,positive
plz send me otp,positive
nice application,positive
আপনাদের এরিয়া বাড়ানো উচিত।,negative
حرامية!! دخلت كارت فيزا وجيت اطلب عملت ريكويست ومحدش جه فكسنلت قفلت البرنامج، لقيت مسدج م البنك بعد ربع ساعة ان اتخصم ثمن الرحلة اللي كنت هدفعه لو كان جالي عربية وركبتها اصلا! وببعتلهم علي البرنامج كاني ببعت لنفسي ولا حد بيرده عليا...بقالي 3 ايام ولا حد رد ولا الفلوس رجعت شوية حرامية محدش يدخلهم كارت!!!!!!!!!!!!!!!!!!!!@@@@@@@@,negative
ابھی ایپ,positive
ang bagal ng service,negative
very nice jazz,positive
جی زبردست,positive
slow work markaz app best,negative
بھاڑ میں جائیں سب فیملی ولاگرز,neutral
اعلٰی,positive
حافظ عبد اللہ,positive
minsan may kulang na delivery pero overall good naman,neutral
kya app hai mashallah,positive
wo w,negative
rate ziyada hote indrive say,negative
bakwas ha,negative
good apps ok ok,neutral
v.vip,positive
90% scammers ha olx pe,negative
perfect,positive
نہے چلرہاہی جیز کیش رن ٹائم استثناء آرہاہی,negative
location lga kar bhi kisi dusri dur ki location ki searching items ati hain,negative
not good,negative
ইতিহাস সংস্কৃতি ছিল প্রশ্ন আলাদা বুঝছো মেয়ে মোহসীন লাইনে অক্ষর দাঁড়িয়ে থাকা আছে তার কিনা সেটা জানি মনে মনে হচ্ছে করেন এবং তার সেই একই থেকে পাওয়া সান্তাহার বের হয়ে টেনে কলেজ নিতে চাই এবং তার উপর ভিত্তি করে দেয় এবং নাই হয়ে করা যান এবং করা যায় করে দেয় দিন দেয় টা তোর জীবন থেকে সান্তাহার বের হয়ে করা যান গেল শুধু তার সাথে দেখা গেল শুধু আমার হোক কেন জানি সেই তাদের জন্য একটি নতুন কিছু নেই বললেই চলে আসে গেছে কাল থেকে রোজা আমি আমার সত্যি হোক কেন আসেন মুমিনুল তার উপর জন্য একটি সাথে কথা বলে কোনো কথা বলে কোন,positive
ڈکی بھائی بہت دن سے منیب کو چانٹے ٹھڈے چپے  نہیں پڑے ہیں اس کو چانٹے لگائیں 😊😁,neutral
"daraz please add 'rawat, islamabad' in your location list. bahut bara area hai, lekin app mein option nahin hai jiski wajah se parcels galat jagah chale jate hain. request hai ke isko jaldi add karein",neutral
wardsaf,negative
کیا ایک شخص کے دو اکاونٹ کھول سکتے ہیں,positive
mdkiron,positive
mazaaa nhi. aaaaya,negative
سید پاک پیر محمد شاہ گیلانی بوڈیانوالہ شیراں والے سرکار,positive
uninstall kr rahii hu me is app ko fazool ha mngwau kuch ata kuch h order kisi restaurant ka hota ly kahi aur se aaty kuch bhi utha k,negative
very nice,positive
jazz cash,positive
سہی ہے,positive
v. nice app,positive
good service,neutral
ماشاءاللہ بہت خوب جناب,positive
masha allah,positive
jazz cash ki ply wali bhot betreen apps thi yh durst nahi hy,negative
suparb ✨,positive
good 👍👍👍 app,positive
awesome ride,positive
عزیزالللہ۔خان۔ایزی۔پیسہ۔اکاونٹ۔سیوء۔گوگل۔سروس۔جلد اور۔تمام۔بونڈ۔چیک۔ون۔اےٹوزیڑ۔مطلب۔اے۔زیڑ۔میری۔اکاونٹ۔سیم۔جس۔کی۔ضمانٹ۔اعتماد۔کی۔سند۔احساس۔عہد۔اخلاص۔ہمدردی۔ضرورت۔مند۔اور۔مستحق۔جو۔ان۔کی۔مدد۔کرے۔حق۔دیانت۔اپنی۔منت۔مراد۔جو۔میں۔اکیلا۔نہیں۔ان۔کی۔اور۔ماں۔باپ۔کی۔میرے۔ساتھ۔اور۔مخلص۔دوست۔کی وفا۔جو۔دعا۔گوء۔یتیم۔مسکین۔محتاج۔اور۔غیور۔خودار۔باضمیر۔فکر۔فناہ۔پے۔یہ۔دنیا۔دولت۔جاءیداد۔ملیز۔کارکھانے۔ھیرے۔موتی۔سونا۔چاندی۔گاڑیاں۔بنگلے۔محل۔نادرجواھر۔سب۔فناہ۔ایک۔الللہ۔عزوجل۔کی۔زات۔بقا۔حی۔وقیوم۔ھے۔جو۔سبکی۔اور۔میری۔مدد۔1,positive
poor results,negative
بہت خوبصورت,positive
اس میں اُردو زبان نہیں بہت مشکل پش آتی ہے,positive
مرچنٹ اکاؤنٹ کا ٹیکس ختم کرو ۔۔,negative
بھترین۔ماشاللہ,positive
بہت ھی زبردست اپشن ھےبینگ سےھزاردرجےبہترھے,positive
ساحل خان,positive
Ducky bhai میرے وس نی ہے اگر میں کچھ ہوتا تو اپ اج جیل نا ہوتے  انشاءلله اہے گے ایک دن ❤❤❤❤,neutral
💯❤️👍,positive
hii good job,positive
best bank 🏦,positive
میرے والٹ سے 1000 روپے کاٹ لیے ہیں ابھی تک واپس نہی کیے 2 ہفتے ہوگیے ہیں,negative
just add karuna hospital area please,negative
isepaysa,positive
wonderful✨😍,positive
nothing to say !,positive
بہت عمدہ,positive
super,positive
بہت اچھی اور خوبصورت ایپ ہے۔,positive
very big many many lakhs,positive
ভালো লাগে,positive
پہ زڑگی پوری ❤️,positive
goodapp,positive
i like it,positive
ایک ہی جان وہ بھی حضرت محمد صلی اللہ علیہ وسلم پر قربان ❤❤❤❤❤❤,neutral
چور کا مین فولڈر گانڈوماکی کوس یزیپیسیہ,positive
زبردست 🌹❤️🫶,positive
খুবই অসাধারণ একটা apps 🤗🤗,positive
order,positive
is a best digital bank,positive
زبردست ایپلی کیشن ہے,positive
kena scam dengan rider foodpanda.makanan telah di hantar tapi tak adepun..bagi pic entah apa2,negative
not secure application fraud spam and fake shops fake products,negative
good service..,positive
dhokay baz jaga ha ya jo dikhty hn woh kabhi ni daty😡😡😡,negative
good app,positive
zbrdast hjaja,positive
please ek permanent history ka option rakhay ta k parishani na ho,positive
does not work properly,negative
بہت اچھا لگا,positive
k ho dai mega sale vaneraw manch lai jhukauna pauxa. baru kati ma ho pahile vannus na manche lau etikai scam garna pauxa pahile delivery order garyo 5 dekhe 10 din ma auxa. esewa and wallet vako lai matra ho. payment first vanxa cash on delivery vaneko bela cancel hunxa muji paxi 10 din paxi samman auxa.tyo pnu kaam hudaina k ho afula products test garna sakdaina delivery vaye paxi return garne pni 7din paxi auxa.. hawa mula scam ho vanne..,negative
good app daraz,positive
i am unable to use the credit in scooter rides although i choose careem pay wallet option when book a ride why it works only in car rides it doesn't make sense that's clear fraud,negative
تودلداچاهی۰,positive
covickly service,positive
شیرخان ہے جو ایک۔ایزی۔پیسا۔اکائوٹ۔بن۔واناچاھثاحو۔,positive
great,positive
ya ride k price alag h or pher paisa zayada le te h,negative
ehsanahmedkhan oyeves,positive
السلام علیکم جو اس بار olx میں اپڈیٹ دی ہے وہ بالکل بیکار ہے جو پہلی اپڈیٹ تھی اس میں ایسا تھا کہ جو نیو ایڈ اتے تھے وہ اوپر اس کے بعد پھر وہ جو دوسرے دن والے اس سے نیچے لیکن اب جو اپڈیٹ ہے یہ اس کے برعکس ہے مثال کے طور پر اگر اج کوئی ایڈ لگاتے ہیں جو 20 دن پہلے کا ایڈ لگا ہوا ہے وہ اوپر شو ہوگا اور جو اب لگایا ہے وہ سب سے نیچے شو ہوگاolx کو چاہیے کہ اس کی اپڈیٹ جو پہلے تھی اس کے اوپر رکھیں,negative
ایزی پیسہ ایک سہولت کار ایپ ہے ڈاؤن لوڈ کریں,positive
jazzcash,positive
"awful customer service and fraudulent delivery time. ordered and it said 20-30 minutes, end up taking 1 hour 30 minutes for the order. ridiculous",negative
في الاونه الاخيره في عمان الاردن في اي وقت نطلب سياره يقوم النظام الآلي عندكم بتعيين كابتن بعيد جدا اكثر من ٨ إلى ١٠ دقائق او كابتن يوصل طلب قريب وايضا ياخد من ١٠ إلى ١٥ دقيقه وهذا المستوى من الخدمه لا يرقي لما كان عليه . أعيدوا الأسلوب الاول ان لا تفرضو على الكابتن الطلب بل دعوهم يقيمو متى يقبل الطلب ودعونا نطلب كريم كما كنا او نبحث عن تطبيق اخر,negative
တာဝန်ယူ တာဝန်ခံမှူ မရှိတယ့် app,negative
very good for jeddah,positive
v good 👍,positive
"bykea ma apni family ko begair ksi pareshani k akele charly jaty hain aur mujy koi tenshion bhi ni hoti,bykea is best.",positive
ماشاءاللہ بہت عمدہ,positive
alhamdulillah.. i am satisfied 🙂,positive
easypaisa,positive
w ආ w හ රි ලස්සනයි වෙරිගුඩ්,positive
easypaisa instal,negative
chanul remiru 2025 වාර්ෂික,positive
m i'm ooyoi k llooo,neutral
🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰nice,positive
كان كريم اضبط تطبيق بعدين تراجعت الخدمات عندما صار الكابنت مايعرف موقع العميل عالخريطة وبالنالي يظل الكابتن محادثة وية العميل حتى يندل مكانه وتالي يتيه ويلغي الطلب ويسجل الكروة على العميل ليش ندفع كروة اذا الكابتن مايندل يوصلنا وليش الكباتن مايكدرون يشوفون موقع العميل على الخريطة التطبيق بدا يفشل للاسف هل هذا متعمد ؟,negative
میرے موبائل میں ایزی پیسہ آپ ڈان لوڈ نہیں ہوتا ہے کوئی,positive
betarin,positive
مبقاش في سيارات متاحه كتير و بنتظر بالنص ساعه و الساعه علشان الاقي رحله ده اذا لقيت في الاخر ، في كل الاماكن في القاهره,negative
marketing team change karo apni mujha notificatiom arhai ha ka konile mountain ma gir gya no problem. aba karachi ma rhta hon. mountain kha sa agai yahan??? demographics hi dekhliya karo update after 1.5 years. december 2024 ma mera phone real ma paharon ma gir gya tha🤡.,negative
جاز لاجواب اعلیٰ سپر !!!,positive
179 days to post a free ad lakh diii lanat bhai complete olx ty,negative
سب تھیم واپس کرے شکریہ,negative
بکواس ایپ ہر دوسرے دن پرابلم شروع ہوجاتی ہے,negative
good appas,positive
👍 nice,positive
ویپی,positive
muzammil khan👀💖💗💕,positive
ood job,positive
سمیع بھائی عسلا م علیکم,positive
bekaar ap.. 100 me sy 99 add yaha fake hoty hn.. app chlany waly kia mera l mng kr rahy hn.. dil krta h k in app walon ko din raat bs gaaliyan dety raho.. mana jitni b cheezy search ki . kareeb koi 50 bando sy mana rabta kr liya yaha sy . cheez ki details likhi hn gujranwala ya lahore ki . jb leny k liye baat kro to koi bahawalnagr sy to koi pakpatan sy to koi sind sy.. app ko chlany waly kia yaha l muh me ly k bethy hn.. anvi zaleel krwa rahy hn.. agr app chlani h to athenti chiz ki zemedar,negative
handling well,positive
fine,positive
excellent service,positive
بھت ھی اچھی کاوش بینک میں لائن سے کھڑا ھونے کی جھنجھٹ سے چھوٹ گئی ھے۔ لیکن اے ٹی ایم کارڈ یا آنلائن کارڈ غلطی سے بھی نہیں کرنا کبھی نھیں پہنچ جائے گا کسٹمرز آفیسر تو بات کرنے کو تیار ھی نھیں ھوتا ھے,positive
ڈکی بھائی جلدی آئیں پلیز 😭 آپ کے 9M ہونے والے ہیں سب ڈکی بھائی کو سبسکرایب کرو ۔۔۔,neutral
yehey hakandbfiddjndd,positive
"দারাজের অ্যালগরিদম এতটাই জঘন্য যে আপনি যদি সার্চ করবেন কাছের বোতল আসবে সাবান, লিখবেন আলু আসবে কোদাল। মানে আপনার সার্চের ধারের কাছেও যায় না। এটার সমাধান করা উচিত।",negative
رفیق۔احمد,positive
نئی اپڈیٹ کے بعد نہ میں اپنی فیورٹ جگہ کو محفوظ کر سکتا ہوں ۔ اور ایک ہفتے سے پہلے کی بکنگ کا ریکارڈ بھی نہیں شو ہورہا ۔ بیکار اپڈیٹ ہے,negative
"یہ زندگی بس کھیل تماشہ اور دھوکے کا سامان ھے , یارا۔",neutral
great caption🥰,positive
no good result,negative
راس نہیں آیا  بھائی پروبلم میں آگیا,neutral
بدھسجس,positive
raat k time khana ponchne or pait bhar k sone or bachon ki khushi pori karne par ap ka shukrai,positive
the great app for shopping and fulfil your needs every time and the best thing is a 1 ruppess challenge to win a car and everything is very durable and quality all products purchased from draaz then no worries for fraud because sone online shopping app show its platform everything very good and no 1 and very reasonable price when you order and receive the parcell then you khonw the fact and never shop again the fraudest app but draaz is professional app platform online to purchase everything,positive
na trash talk ako ng rider,negative
fest time order,positive
baba rajpoot592 vehari,positive
❤️❤️,positive
الكابتن سرق موبايلي وخدمة العملا اخر اهمال واستهتار بعد نهاية الرحلة مباشرة اكتشفت نسياني الموبايل ، اتصلت على رقمي ولما رن الكابتن قفله خالص وعملت اكتر من شكوى خدمة العملا لم تهتم وبعد ٨ ساعات من الشكاوي والتوتر، ارفقت بشكوى جديدة اني حعمل محضر رسمي فالشرطة للشركة والكابتن فاقل من ١٠ دقايق الكابتن فتح الموبايل ورد انه سافر بيه بره اسكندرية وحيرجعه تاني يوم خدمة العملا نزلتلي عليا غرامة ٩٣ ج تعويض للكابتن انه رجع الموبايل بدل ما ياخدو اجراء انه سرقه ومحدش عبرني حتى باعتذار,negative
fantastic,positive
nice amazing,neutral
superb app,positive
galaxy a24************,positive
faltu akta app,negative
بائیکیا کی سروس بہت اچھی ہے۔,positive
حج۔ پر۔ jay,neutral
mane kon level er baler app!! matro 1 second hoise order dilam tara order cancel korte dey na. mane vule order chole jaite pare na? to ei jonno order cancel korte dibe na? baler app,negative
good bro,positive
mene paeli bar mangawa hai ye bhuat he acha app hai,negative
یہ ایپ بہت سلو ہے,negative
dil kar raha tha,positive
very nice,positive
ھگجھخن,positive
اردو زبان میں نہیں آیا,positive
جی ٹھیک ہے,positive
ھگہفف,positive
gul mamad7!،89,positive
السلام علیکم اپ میرا ایزیپیسہ ایپ نہیں چل رہا میرے پاس انفنکس ڈیوائز ہے پہلے اسی ڈیوائس پر میرا ایپ چل رہا تھا,negative
ڈیجیٹل,positive
good good vvvvvvvvvv good good,positive
v. good,positive
ہماری نسل کو بگاڑنے والے مجرم. یہ ہوتی ہیں منحوس عورتوں کی اولادیں.....,neutral
এই এই অ্যাপটি একটা মাদারবোর্ড অ্যাপ আপনার অনুমতি ছাড়া ফ্রি সাস্ক্রিপশন ইউজ করার বাহানা দিয়ে আপনার বিকাশ থেকে অটো পেমেন্ট কেটে নে যেটা আমার সাথে হয়েছে এমনকি আমি তাদের সাথে কথা বলে হট লাইনে কোন সুন্দর সমাধান পাইনি। যে বা যারা ব্যবহার করবেন সবাইকে সতর্কতার সাথে ব্যবহার করার জন্য অনুরোধ করা হলো।,negative
🌟 🌟 🌟 🌟 🌟,positive
اسلام علیکم ورحمت الله وبر کاته حیکمت الله جانه سنګه ی جوړ اموړ روغ رمټی فلار اومور دی جوړدی ستا بچیان جوړ روغ دی زندګی دی فه خیر ده جوړ اوسی مخاربیږی دلته هم الحمد الله خیر خیرتده کومه فریشانی نشته وسلام,positive
اس ایپلیکیشن میں جہاں انگریزی، عربی اور دوسری زبانیں موجود ہیں وہاں اس میں اردو زبان کی بہت بہت بہت کمی ہے۔ لہٰذا برائے مہربانی اس میں اردو زبان بھی لازمی ڈالیں۔ شکریہ۔,positive
یہ ایک بہت اچھا کام ہے,positive
jgtig hi,negative
very bad experience jazz cash app muj aj 11 din ho ga ha mana insurance claim ke liye document submit karva maine 3 september ko submit karate aaj 11 september ho gai hai mujhe koi response nahin diya veri bed experience with cash cash application no response customer service 24 hours ka time dene ke baad,negative
بہت اچھی ایپ ہے اس سے فائدہ اٹھائیں,positive
صغیر خان,positive
bas jo dikhta he wo nahi milta baki taste 1 number,neutral
asghar,positive
issu cod 804 plzz solved,positive
ڈکی بھائی خدا کی قسم میں اپ کو بہت مس کر رہا ہوں میری اوقات نہیں ہے میں بہت دور سے ہوں لیکن اپ تک ا نہیں سکوں گا ابھی لیکن اگر میرا وقت ائے گا تو میں اپ کے پاس اؤں گا انشاء اللہ اور  میری دعا ہے کہ اپ کو جلدی سے جلد جیل سے ازاد کیا جائے اور کمنٹ پڑھنے والے بھائی سے گزارش ہے کہ دعا کرے امین ثم امین,neutral
5ster,positive
یہ نہیں کھلتا ہے,negative
kindly rent main kuch benafit deya karo. sawati ko,positive
ٹگفرد,neutral
fine,positive
گھٹیا سروس رائڈر پانچ منٹ کا کہہ کر آدھا گھنٹہ لگا دیتے ہیں اپنے مقام کو منتخب کرنے کے بعد جو رقم ہم کسٹمرز کے پاس آرہی ہوتی ہے اس سے ڈبل کیپٹن لے لیتا ہے حیرت کی بات یے کہ اس کےپاس ڈبل رقم آرہی ہوتی ہے بے غیرت دھوکے باز سواری کینسل کے پیسے کاٹتے ہیں اپنی غلطیوں خامیوں دھوکے بازیوں پر نظر نہیں رکھتے,negative
good 👍🏼,positive
bht hi ghatiya qisam ki company hai 3 din se mein 1 hi location ki ride book or rha hon koi rider except hi nhi kr rha jab manual rider se pocha to kehta hai company paise bht kam deti hai or upar se commission b ziada kat leti hai shameless company,negative
بیسٹ,positive
good work good apps,positive
একদম বাজে আজ যতসব কাজকাম এদের এর থেকে ভালো ফুটপাতের দেখে জিনিস কিনা অনেক ভালো,negative
wow 😲😲😲😳😲,positive
وقت ضائع ہونے سے بچانے میں مددگار ساتھی,positive
wow 😍 awesome,positive
great nice amazing great,positive
it's not working,negative
"jo jo es ko support karta on k leye ye son lo quran kya khata 
اے ایمان والو شراب اور جوا اور ریت اور پانسے 
یہ سب ناپاک کام عمالے شیطان سے ہیں 
سو تم ان سے بچتے رہنا",neutral
فری سروس دی,positive
ابھی ابھی نیوز سنا کے ڈکی بھائی کو گرفتار کرلیا۔🤔,neutral
ان ویری گڈ ایل ایکس پر سر,positive
بسم الله الرحمن الرحيم الحمدلله رب العالمين الرحمن الرحيم مالك يوم الدين اياك نعبد و اياك الله معاف فرمائيي. اچهي هي استعمال كي هي.,positive
amazing,positive
after update it's not working properly... bohat zada freeze ho raha hai koi bhi ad load nahi ho raha kindly fix this issue as soon as possible & you may also add audio calling option so it'll be also comfortable for all people's... even buyer & seller,negative
henging problem,negative
most demanded app but jb aksar logo ki lgai gai kisi b trha ki sale se koi b call customer rbta ni krta to phr olx team ko chaiye k aesi na sale hony wali chez ko jald se jald sale krwny ki koi strategy bnaye rate ko kuc km krwa k 2 se 3 installment pe sale krwaye yani seller or purchaser 2no ka km b ho jaey or app ka b status mzed good or demanded bnay !!!!,positive
nice 💯,positive
zainkhan,positive
best selling platform,positive
ډیر شایسته,positive
4jp e p f9l ml r wb0,negative
good 😊👍👍👍😊😊👍👍😊,positive
یہ ایپ کافی دنوں سے اوپن نھیں ہوتی,positive
chaudhari 🤩,positive
bakwas app ha jisma late delivery ha jab ap paid order karta ha to deliver pora 1:30min time ka bad b nahi ati baqwas no contact kar sakta restaurant or rider battameez hota ha,negative
bhai wale discount copan dita hain per enter karo order hota he nh hain,negative
آپ کی عیب بہت زیادہ ہینگ کرتی ہے عیب کام کرنا چھوڑ دیتی,negative
اللہ تعالیٰ بھائی کے لیے آسانیاں پیدا فرمائے آمین,neutral
اسلام وعلیکم جاز کیش ایپ میں اُردو زبان جمع کریں شکریہ,positive
easy banking,positive
doesnt refund your payment now. keeps getting worse,negative
"this is very bad app olx ,, aj mry sath ipad ka scam ho gya hai ,, ma na kaise k lye ipad bejha but us na muji dhoka dya payment muji nh mila",negative
sayd ummer,positive
i like this ap,positive
لکی گولڈ,positive
بظاہر ایک کارآمد ایپ نظر آرہاھے,positive
اعتمادی,positive
worst ever service. agr rain ki waja se service mai masla hai to order na le. ek restaurant se order kya jo 10 minute k distance per tha usse order abhi tk nahi aya or payment bhi process hogai 1.5 hour hochuke hai,negative
نصابين بيسحبوا من الكارت بدون قبول الرحلة من سواق,negative
user friendly,positive
l app,negative
بہترین ایپ,positive
nice driver abdul majeed,positive
السلام عليكم، حابة انصح اى حد بيركب كريم انه معرض للخطر و مفيش أدنى وسيلة مساعدة او اتصال أثناء رحلتك او بعدها فى خلال الساعة اللى بعدها،حديثا تمت التغييرات بعد شراء uber لكريم ،و عند محاولة الاتصال بالسواق بعد انتهاء الرحلة بدقيقة عشان سيبت جهاز بتاعي على الكنبة،الرقم يرد عليكي برسالة مسجلة انه رقم خاص بالابليكيشن و مش هيرد عليكي و رسالة مسجلة و السواق ميعرفش برضه يكلمك او رقمك او يوصل لك،و لا يوجد اى رقم للانقاذ او التواصل فى نفس اللحظة و حاجتى لم ترجع ،و هنا يختفي شرط الأمان,negative
awesome ride,positive
میں نے اس ایپ کا کئی بار مشاھدہ کیا ھے لیکن ابھی تک استعمال کرنے کی نوبت نہیں آئی۔۔۔۔۔۔۔۔۔,neutral
so late delivery,negative
easy paisa a,positive
"fake ho dashain offer ko name ma luti ra ko xa 99 ,999,9999 ko offer fake ko",negative
good 👍👍,neutral
পুরাই চিটিং বাজ app. 9 taka deal offer বলে একদিনেও দেই নি।,negative
poor app,negative
ڈون لوڈ نہیں ھوتا,negative
لا جواب,positive
5star king 👑 rating,positive
لو في أقل من نجمة يستحق,negative
ماشاءاللہ بہت خوب صورت 💯❤️♥️🥀💕💯🥺🥺🎉,neutral
پیسہ کمانا ہے,positive
تطبيق فاشل فاشل فاشل فاشل فاشل اطلب مشوار وانتظر وبعدها الاقي انو السواق لديه مشوار قريب مني يعني يخلص المشوار ثم يأتي لي كلام فارغ وشركه لا تسوى ريال والله ما تستاهلوا ولا نجمه هذه نجمه تعليق فقط,negative
ماشااللہ,positive
bist,positive
بہت خوب اردو زبان ضرور شامل کریں شکریہ,positive
"i’ve been using jazzcash for a while, and it’s honestly a game-changer! 😎 sending money to bank accounts, cnics, or other wallets is super easy, and even receiving payoneer or raast payments is instant. ⚡ paying bills, topping up mobile phones, or buying data bundles is just a few taps away. plus, features like bachat account, digital insurance, and mastercard for online/offline shopping make it a full financial hub. 🏦🛍️",positive
