,cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,is_urdu,text_lower,sentiment
1709,UgyZqcZ4xGHKmZopaJR4AaABAg,Miss you تو کہاں ہو گا میں نہیں ہوں گا وہاں ہوگا تو بہت یاد ا رہا ہے🤧🥀,11 days ago,@Chni_menivolg,UChpQ0ZWXP8OtxqTBGWm-LMQ,0,,https://yt3.ggpht.com/UU-4FwDBO28LhXwFKtPVHlVAryx5lE12mXy5GWgdvE6lphF4TR5stihHbor1M_Yh0PBXWQGW=s88-c-k-c0x00ffffff-no-rj,False,False,1756998268.624902,True,miss you تو کہاں ہو گا میں نہیں ہوں گا وہاں ہوگا تو بہت یاد ا رہا ہے🤧🥀,neutral
1924,UgylndXmHUmYG1k43RN4AaABAg,بھائی یار کہاں چلے گئے اپ😢😢😢,12 days ago,@devil._.jutt03,UCTHzd1Uwjvpr_sl-bxhEggg,0,,https://yt3.ggpht.com/34vW1tRVpyw0h0Xzh8iZnkeiCoZRJhtk7TwepMZzLvFioniX85sjqPHd0DdqTElH-RD6bLK5=s88-c-k-c0x00ffffff-no-rj,False,False,1756911874.592296,True,بھائی یار کہاں چلے گئے اپ😢😢😢,neutral
2010,UgwlJ5_dJ78FnV1auOx4AaABAg,ماشاءاللہ,13 days ago,@pinchofsalt5705,UChNRMVf6A-oSn5wrKXNiYyg,0,,https://yt3.ggpht.com/ytc/AIdro_mLKPfQfsYtfUyqqe6FpMayQRafZoRgOUnqIFjEi-enSreCJmiWcdakwZy3g21qd24UHw=s88-c-k-c0x00ffffff-no-rj,False,False,1756825476.816132,True,ماشاءاللہ,neutral
2075,UgxgyOI7UbCggPKLvL94AaABAg,"Allah states that who spreads obscenity, & Futility, he'll never die until becomes torment.
اللہ تعالیٰ فرماتا ہے کہ جو فحاشی اور فضول بات کو پھیلاتا ہے وہ اس وقت تک نہیں مرے گا جب تک کہ عذاب نہ ہو جائے۔",13 days ago,@ShahnazFatima-n8l,UCvsqNZDm37HEpwp9e_NZ-Ug,1,,https://yt3.ggpht.com/ytc/AIdro_lA7jr0LZvBQFLmBc7jijnVjyoazsJEdCveoYk4bFvSLqy3mJRIVzhAwp7IKIkTOUTl9A=s88-c-k-c0x00ffffff-no-rj,False,False,1756825478.123547,True,"allah states that who spreads obscenity, & futility, he'll never die until becomes torment.
اللہ تعالیٰ فرماتا ہے کہ جو فحاشی اور فضول بات کو پھیلاتا ہے وہ اس وقت تک نہیں مرے گا جب تک کہ عذاب نہ ہو جائے۔",neutral
2131,Ugw5MXAygWuORqcI0vR4AaABAg,اندھیرا جتنا مرضی گہرا ہو مگر ہر اندھیرے کے بعد ایک صبح ضرور ہوتی ہے انشاءاللہ اللہ تعالی ڈکی بھائی کو اس مشکل سے ضروریں نکالے گا یہ بندہ ہزار چہروں پر مسکراہٹ لانے والا ہے اس کے چہرے کی مسکراہٹ کیسے غائب ہو سکتی ہے یا اللہ مدد کر,13 days ago,@zartashaameen4949,UC1veqjakdWFj7CjdHMkGPZg,1,,https://yt3.ggpht.com/ytc/AIdro_kjL-MN_HzjpF9q9KQMqO1TmyLr2SkU2TZ6-hdB8EtWV58=s88-c-k-c0x00ffffff-no-rj,False,False,1756825479.616554,True,اندھیرا جتنا مرضی گہرا ہو مگر ہر اندھیرے کے بعد ایک صبح ضرور ہوتی ہے انشاءاللہ اللہ تعالی ڈکی بھائی کو اس مشکل سے ضروریں نکالے گا یہ بندہ ہزار چہروں پر مسکراہٹ لانے والا ہے اس کے چہرے کی مسکراہٹ کیسے غائب ہو سکتی ہے یا اللہ مدد کر,neutral
2138,UgzCFm6pOhg068KGK_N4AaABAg,اللہ پاک آسانی پیدا کرے میرے بھای زندگی میں اتار چڑھاو آتے رہتے ہیں پریشان مت ہونا آپ ہمُ اس مشکل ٹائم میں آپ کے ساتھ ہیں❤❤❤,13 days ago,@Zeeshanlatif34144,UCvZmkyxoTv4K9keO8i_Z82g,1,,https://yt3.ggpht.com/FRQXYgw2yIT5aUE4abzQVhDrm5GRBy-ReIhkFLNbHQ0T9Fpf2wjTICv636rTVLp-EENKoJvxfmE=s88-c-k-c0x00ffffff-no-rj,False,False,1756825479.62727,True,اللہ پاک آسانی پیدا کرے میرے بھای زندگی میں اتار چڑھاو آتے رہتے ہیں پریشان مت ہونا آپ ہمُ اس مشکل ٹائم میں آپ کے ساتھ ہیں❤❤❤,neutral
2185,UgyzdHD5PlIie5dOaRd4AaABAg,ہم نے بہت کوشیش کی آپ سے بات کرنے کی شائد آپ کو ہم پر ترس آ جائے شائد غریب آدمی کسی مشکل میں ہی ہو لیکین آپ نے کوئ جواب نہ دیا لیکین کوئ بات نہیں ہم پھر بھی آپ کے لیے دوعا کرتے ہیں آللہ آپ کو اس مشکل سے نیکالے آللہ تعالی آپ کے لیے آسانیاں پیدہ کرے بھائ آمین 🤲🕋,2 weeks ago,@Alishergujjar57712,UCDMFz8vkADriuIrmichhGpA,0,,https://yt3.ggpht.com/2TZraaB7kUPdnDwNRHCAJpa5jrXKh7CK4AM2mH9oDrlQuC_uoe2pUUSpZUfsjkzHSsKI6nClgA=s88-c-k-c0x00ffffff-no-rj,False,False,1756739080.878752,True,ہم نے بہت کوشیش کی آپ سے بات کرنے کی شائد آپ کو ہم پر ترس آ جائے شائد غریب آدمی کسی مشکل میں ہی ہو لیکین آپ نے کوئ جواب نہ دیا لیکین کوئ بات نہیں ہم پھر بھی آپ کے لیے دوعا کرتے ہیں آللہ آپ کو اس مشکل سے نیکالے آللہ تعالی آپ کے لیے آسانیاں پیدہ کرے بھائ آمین 🤲🕋,neutral
2244,UgyFWrz97ZFbBxvj9vh4AaABAg,"ان بے شرموں کو بالکل ملک سے باہر نہ جانے دیا جائے 
ان بے شرموں نے لوگوں کے گھروں کو برباد کیا 
شکریہ گورنمنٹ اف پاکستان 
شکریہ 

فورا ان کے نام ای سی ایل پر ڈالیں 30 یوتوب پر کے ۔۔۔",2 weeks ago,@dlc.offical,UCcGPsWRc0wFDSKLCBjSIfbQ,0,,https://yt3.ggpht.com/WfY138hWRPuW6ewV3vCC_yeIOvNlt89pFnygN1d_3KB93L_V37KlaeJwKwD8CRqVfD6J-X5warY=s88-c-k-c0x00ffffff-no-rj,False,False,1756739082.517502,True,"ان بے شرموں کو بالکل ملک سے باہر نہ جانے دیا جائے 
ان بے شرموں نے لوگوں کے گھروں کو برباد کیا 
شکریہ گورنمنٹ اف پاکستان 
شکریہ 

فورا ان کے نام ای سی ایل پر ڈالیں 30 یوتوب پر کے ۔۔۔",neutral
2245,UgxyJ5w1ysJyrWYCiPZ4AaABAg,"ان بے شرموں کو بالکل ملک سے باہر نہ جانے دیا جائے 
ان بے شرموں نے لوگوں کے گھروں کو برباد کیا 
شکریہ گورنمنٹ اف پاکستان 
شکریہ 

فورا ان کے نام ای سی ایل پر ڈالیں 30 یوتوب پر کے ۔۔۔",2 weeks ago,@dlc.offical,UCcGPsWRc0wFDSKLCBjSIfbQ,0,,https://yt3.ggpht.com/WfY138hWRPuW6ewV3vCC_yeIOvNlt89pFnygN1d_3KB93L_V37KlaeJwKwD8CRqVfD6J-X5warY=s88-c-k-c0x00ffffff-no-rj,False,False,1756739082.51917,True,"ان بے شرموں کو بالکل ملک سے باہر نہ جانے دیا جائے 
ان بے شرموں نے لوگوں کے گھروں کو برباد کیا 
شکریہ گورنمنٹ اف پاکستان 
شکریہ 

فورا ان کے نام ای سی ایل پر ڈالیں 30 یوتوب پر کے ۔۔۔",neutral
2246,Ugz-aHv2-RjI3UyibW94AaABAg,"یہ 30 بے غیرت بھی لوگ ہیں جنہوں نے لوگوں کے گھروں کو برباد کیا ہے 
میری ریکویسٹ ہے گورنمنٹ اف پاکستان سے کہ ان 30 یوتوب بر کو فورا ای سی ایل پر ڈالیں۔۔۔",2 weeks ago,@dlc.offical,UCcGPsWRc0wFDSKLCBjSIfbQ,0,,https://yt3.ggpht.com/WfY138hWRPuW6ewV3vCC_yeIOvNlt89pFnygN1d_3KB93L_V37KlaeJwKwD8CRqVfD6J-X5warY=s88-c-k-c0x00ffffff-no-rj,False,False,1756739082.520705,True,"یہ 30 بے غیرت بھی لوگ ہیں جنہوں نے لوگوں کے گھروں کو برباد کیا ہے 
میری ریکویسٹ ہے گورنمنٹ اف پاکستان سے کہ ان 30 یوتوب بر کو فورا ای سی ایل پر ڈالیں۔۔۔",neutral
2247,UgyfGbm05soWfR7cwPp4AaABAg,شکریہ گورنمنٹ اف پاکستان اپ نے ان بے غیرت لوگوں کو ای سی ایل پر ڈالا ان بے غیرت لوگوں نے بے شمار کروں کو برباد کیا ہے۔۔۔ اب ان کی برباد ہونے کا ٹائم شروع ہو گیا ہے۔۔۔ ایک بار پھر شکریہ گورنمنٹ اف پاکستان کا۔۔۔,2 weeks ago,@dlc.offical,UCcGPsWRc0wFDSKLCBjSIfbQ,0,,https://yt3.ggpht.com/WfY138hWRPuW6ewV3vCC_yeIOvNlt89pFnygN1d_3KB93L_V37KlaeJwKwD8CRqVfD6J-X5warY=s88-c-k-c0x00ffffff-no-rj,False,False,1756739082.522386,True,شکریہ گورنمنٹ اف پاکستان اپ نے ان بے غیرت لوگوں کو ای سی ایل پر ڈالا ان بے غیرت لوگوں نے بے شمار کروں کو برباد کیا ہے۔۔۔ اب ان کی برباد ہونے کا ٹائم شروع ہو گیا ہے۔۔۔ ایک بار پھر شکریہ گورنمنٹ اف پاکستان کا۔۔۔,neutral
2396,Ugxur5yKxLY5HtCjVeJ4AaABAg,غلط کام کرنے کی سزا ضرور ملنی چاہیے,2 weeks ago,@noormohammedsiddiqui1072,UCXf4Hk3E-69G_WLlq3SYM5g,0,,https://yt3.ggpht.com/ytc/AIdro_nfaS9vjq2Wu5GonnDUIOhRL2y6pnzLaoMqhU-6dfu7LLR1aLU8I2-k3XCvlqvcw0YKRQ=s88-c-k-c0x00ffffff-no-rj,False,False,1756739086.123713,True,غلط کام کرنے کی سزا ضرور ملنی چاہیے,neutral
2591,Ugw4q7ozf1vGfOfIK6l4AaABAg,بھائ آپ کب آے گے میں آپ کا بہیت انتظار کر رہی ہو,2 weeks ago,@foziashariq5937,UCmbsRG_c0jynKhsd1P_UwRQ,2,,https://yt3.ggpht.com/ytc/AIdro_nj52r54LP66EYFqP7Inb6jhP8S_q3e1BbIP1asn4ZSRuEPMPd_TcQnDlhRVA6szGI8QQ=s88-c-k-c0x00ffffff-no-rj,False,False,1756739090.600869,True,بھائ آپ کب آے گے میں آپ کا بہیت انتظار کر رہی ہو,neutral
2819,UgyokCai3NSv7PqrMtF4AaABAg,ڈکی بھائی آپ کی فالونگ چھوٹے بچے اور اسکولز کے کولیجز کے لڑکے ہیں جو جیل یہ کورٹ نھیں آ سکتے ہم آپ کے ساتھہ ہیں لو یو,2 weeks ago,@AliAkbarSharVlogs,UC07UbZUZ_z6s0hII50O2chw,1,,https://yt3.ggpht.com/uJ0_X4YedfkpbXo2jp8e5rWcAsKLJ3e-J_8mSECXiwFoZkXv6asRo-wEPMybXxS-gOduRBkjCEM=s88-c-k-c0x00ffffff-no-rj,False,False,1756739097.851913,True,ڈکی بھائی آپ کی فالونگ چھوٹے بچے اور اسکولز کے کولیجز کے لڑکے ہیں جو جیل یہ کورٹ نھیں آ سکتے ہم آپ کے ساتھہ ہیں لو یو,neutral
2946,Ugy6Vi0O6cFNKcjQuOd4AaABAg,اس بندے کو دکھاوا مار گیا جب 10cr کا گھر دکھائو گئے تو یہی ہی ہونا تھا لیکن جو بھی ہے ظلم ہو رہا اس کے ساتھ😢,2 weeks ago,@sheikhnaeem,UChId_MNJs6MDFv49Ufwvo5w,0,,https://yt3.ggpht.com/f65S9auuOct0jG_2OACLu5PSJyMs0ohlgC6f6lEAHuwW6RPSkT9Crao6QwfKw9n6MUB7RUBNHkc=s88-c-k-c0x00ffffff-no-rj,False,False,1756739100.822536,True,اس بندے کو دکھاوا مار گیا جب 10cr کا گھر دکھائو گئے تو یہی ہی ہونا تھا لیکن جو بھی ہے ظلم ہو رہا اس کے ساتھ😢,neutral
2991,UgxDH9pVXgecJlAi6VV4AaABAg,کیاہو,2 weeks ago,@محمدجحفر123,UC3-bf96IUZEQ-hoTtcB9jCQ,0,,https://yt3.ggpht.com/UlsDqAEjf--SlMuvs-Sr9OneEKa5CbfR8NQvdOhfw93ps9D95iNUAN4U-JZrEoM1HUCrScUetw=s88-c-k-c0x00ffffff-no-rj,False,False,1756739101.709884,True,کیاہو,neutral
3149,UgwtB6Medvzjh6GiM794AaABAg,ہمیں سمجھ نہیں ارہی اپ کو کس پلیٹ فارم سے سپورٹ کریں میرے کو یہی سمجھ اتی ہے اس لئے میں اپ کے لوگ والے چینل پہ سپورٹ کر رہی ہوں ہم اپ کے ساتھ ہیں,2 weeks ago,@MwaheedWaheed-r7j,UC2qK18f7IsWnYUJCydLzaPg,1,,https://yt3.ggpht.com/ytc/AIdro_lCcLaQxWcvI2EGO1Yx8JghVogwuIvweQtKO2WljVQO8Z9U-9WIqXep9b4I_4RwnbLfMQ=s88-c-k-c0x00ffffff-no-rj,False,False,1756739106.430983,True,ہمیں سمجھ نہیں ارہی اپ کو کس پلیٹ فارم سے سپورٹ کریں میرے کو یہی سمجھ اتی ہے اس لئے میں اپ کے لوگ والے چینل پہ سپورٹ کر رہی ہوں ہم اپ کے ساتھ ہیں,neutral
3418,Ugx6Tn-nmE0GB1yDF-J4AaABAg,ڈکی بھائی ہماری اپ کے ساتھ دعا ہے کہ اللہ تعالی اپ کو جلد از جلد اپنے گھر لے کے اور اپ ہمارے مزے کے ولاگ بنائے ہمیں انتظار ہے,2 weeks ago,@MwaheedWaheed-r7j,UC2qK18f7IsWnYUJCydLzaPg,1,,https://yt3.ggpht.com/ytc/AIdro_lCcLaQxWcvI2EGO1Yx8JghVogwuIvweQtKO2WljVQO8Z9U-9WIqXep9b4I_4RwnbLfMQ=s88-c-k-c0x00ffffff-no-rj,False,False,1756739112.990767,True,ڈکی بھائی ہماری اپ کے ساتھ دعا ہے کہ اللہ تعالی اپ کو جلد از جلد اپنے گھر لے کے اور اپ ہمارے مزے کے ولاگ بنائے ہمیں انتظار ہے,neutral
3432,UgzzVvDoVncX8p_5JZ14AaABAg,ڈکی بھائی ضمانت مبارک ہو اپ کو ہمیں بہت خوشی ہوئی,2 weeks ago,@kingsautos,UCPZA28-PFil5oleG445EouQ,0,,https://yt3.ggpht.com/XEgX1NKCUSMp0jLkc8RjjnuDjrGUtahJ9Eoe4hhIFbwW6gSw4NQ9eaBLqw4dUDLNWBqS9znYDA=s88-c-k-c0x00ffffff-no-rj,False,False,1756739113.488057,True,ڈکی بھائی ضمانت مبارک ہو اپ کو ہمیں بہت خوشی ہوئی,neutral
3500,UgwIqaU-EHRIVf3mGBJ4AaABAg,Ducky bhai میرے وس نی ہے اگر میں کچھ ہوتا تو اپ اج جیل نا ہوتے  انشاءلله اہے گے ایک دن ❤❤❤❤,3 weeks ago,@HumTumTvHD,UCMdRgDN9y2UJTiOZGLUNwDQ,1,,https://yt3.ggpht.com/yIr96LHpILJ_IC9B7sNit8HAGUTGWlPuIYMwU5-1f7aIXt1DATnO18lEC5oxomHlOkS1xcjk=s88-c-k-c0x00ffffff-no-rj,False,False,1756134314.792681,True,ducky bhai میرے وس نی ہے اگر میں کچھ ہوتا تو اپ اج جیل نا ہوتے  انشاءلله اہے گے ایک دن ❤❤❤❤,neutral
3564,UgyOlh4Wj819fhxru9h4AaABAg,ڈکی بھائی الله تعالٰیٰ آپ کیمدد ضرمائیں آمین❤,3 weeks ago,@BAKHTAWARAliZAI,UCXEXNsnr48JJdAJSFN_l5cA,0,,https://yt3.ggpht.com/tkcSfOhf5PSB1sfD4a1VbCuH6X0_i8VxeD3fZoINrGgWleB6aXBz810ZCakeSSfWT5wR632w=s88-c-k-c0x00ffffff-no-rj,False,False,1756134316.638499,True,ڈکی بھائی الله تعالٰیٰ آپ کیمدد ضرمائیں آمین❤,neutral
3849,UgxUYtWCyLDaZW9gYEZ4AaABAg,ڈکی بھائی پر لعنت بے شمار 🎉,3 weeks ago,@Sajjadfaizmuhamed3715,UCB9ImWLad4A3J9VwyA4ycYg,1,,https://yt3.ggpht.com/evRQxtyJqke5MmGX_Hh1oJ4TwJHCqSwjkYJ3EQPo5Q3nmaVsVL2eSxDVFXKGPuERyjXQd3SY=s88-c-k-c0x00ffffff-no-rj,False,False,1756134323.866695,True,ڈکی بھائی پر لعنت بے شمار 🎉,neutral
3965,UgyvickmN26KdYkBcvZ4AaABAg,ڈکی بھائی کاش آپ نے وہ سفید لفافہ نظرانداز نہ کیا ہو تا جو آپ کے ریسٹورانٹ میں چھوڑا تھا۔ کیونکہ غریب کی دعا اور بدعا دونوں عرش تک جاتی ہیں,3 weeks ago (edited),@Billaghumman,UCRV0P3Gye__D13iPwDWQQYg,0,,https://yt3.ggpht.com/ytc/AIdro_k_QNIbHileIvKqR4gskCl20HIQ9fbv-3_dFVp-vWmam75VFD69o7xWdiXX4FHY2gUjrQ=s88-c-k-c0x00ffffff-no-rj,False,False,1756134326.252077,True,ڈکی بھائی کاش آپ نے وہ سفید لفافہ نظرانداز نہ کیا ہو تا جو آپ کے ریسٹورانٹ میں چھوڑا تھا۔ کیونکہ غریب کی دعا اور بدعا دونوں عرش تک جاتی ہیں,neutral
4108,UgzSneHIvVJiTbTpLpZ4AaABAg,میرا خود کا بھی ابھی گھر میں مسئلہ چل رہا ہے اسی لئے میں اپ سے ملنے نہیں ارہا ہوں سوری لیکن انشاء اللہ جلد سے جلد میں اپ سے ملنے اؤں گا اپ انشاء اللہ جلد سے جلد اپ ریاض ہو جائیں گے,3 weeks ago,@AliSamejo-l7h,UC8j1-ZH-TBIR4j3BgZn11jQ,0,,https://yt3.ggpht.com/nyciRsEqY59S-Ny3_kEXznRYAl5E73-0QPQbSuYzskFDwYrmJ9wEeWcdUseC3WdwFJYwLE_jrw=s88-c-k-c0x00ffffff-no-rj,False,False,1756134330.003687,True,میرا خود کا بھی ابھی گھر میں مسئلہ چل رہا ہے اسی لئے میں اپ سے ملنے نہیں ارہا ہوں سوری لیکن انشاء اللہ جلد سے جلد میں اپ سے ملنے اؤں گا اپ انشاء اللہ جلد سے جلد اپ ریاض ہو جائیں گے,neutral
4110,UgzS0zJqVqJJmhWhD-94AaABAg,ڈکی بھائی خدا کی قسم میں اپ کو بہت مس کر رہا ہوں میری اوقات نہیں ہے میں بہت دور سے ہوں لیکن اپ تک ا نہیں سکوں گا ابھی لیکن اگر میرا وقت ائے گا تو میں اپ کے پاس اؤں گا انشاء اللہ اور  میری دعا ہے کہ اپ کو جلدی سے جلد جیل سے ازاد کیا جائے اور کمنٹ پڑھنے والے بھائی سے گزارش ہے کہ دعا کرے امین ثم امین,3 weeks ago,@AliSamejo-l7h,UC8j1-ZH-TBIR4j3BgZn11jQ,0,,https://yt3.ggpht.com/nyciRsEqY59S-Ny3_kEXznRYAl5E73-0QPQbSuYzskFDwYrmJ9wEeWcdUseC3WdwFJYwLE_jrw=s88-c-k-c0x00ffffff-no-rj,False,False,1756134330.00659,True,ڈکی بھائی خدا کی قسم میں اپ کو بہت مس کر رہا ہوں میری اوقات نہیں ہے میں بہت دور سے ہوں لیکن اپ تک ا نہیں سکوں گا ابھی لیکن اگر میرا وقت ائے گا تو میں اپ کے پاس اؤں گا انشاء اللہ اور  میری دعا ہے کہ اپ کو جلدی سے جلد جیل سے ازاد کیا جائے اور کمنٹ پڑھنے والے بھائی سے گزارش ہے کہ دعا کرے امین ثم امین,neutral
