,app,lang,content,score
325,Daraz,en,"my experience is very good, because this apps is very helpful in our country.when i need another products. when i order from here. so daraz shows is good 👍.one day i needed to another products. when,where haven't i got another's products. so i can say, this apps is good for our buy. i want to say bangladeshi person and another's country person. when you have to need expensive, normal, hight,medium products. so you can buy product from here. again i want to say you. this app is good.thank you.",5
326,Daraz,en,pictures of reviews never open,1
327,Daraz,en,bad app i not like,5
328,Daraz,en,pls help me i need work,4
329,Daraz,en,why this app is not downloading 😡😡😡😡😡😡😡,1
330,Daraz,en,third class brand ha ye daraz,1
332,Daraz,en,super site brooo alhamdulillah,5
333,Daraz,en,খুব ভালো,3
334,Daraz,en,not good,1
335,Daraz,en,"the search function is totally busted shows one page can show 6 products, and 5 of them are irrelevant of what i searched for it no that the searched product is unavailable ill just have scroll 5 times more which deafeats the online shopping. this is a disgusting business practice or the developers of the app are very incompetent.",1
336,Daraz,en,"average goods are not bad at all, delivery is delayed.",3
337,Daraz,en,china sy koi order nhi a rhy delivery band ki hoi hai,1
338,Daraz,en,its good,5
339,Daraz,en,nice to meet you,2
341,Daraz,en,it's good,5
342,Daraz,en,daraz er theke emon kichu kokhonoi asha kori nai. er age daraz theke order refund voucher use korechi kintu kono validity time chilo na. but eibar validity time dilo. 11.13 am kemon validity time amake ektu bujhan. tao kono notifiction chara! amar tkr refund er abar valodity kiser!!! amar 1000+ tk apnara mere disen.,1
343,Daraz,en,onik sundor,1
344,Daraz,en,just theek ha,1
345,Daraz,en,5ster,5
347,Daraz,en,ma ney order ki net payment kr di to likan next day wahi order cancel ho giyaa abb ma kis sey baat karoo kah meri payment kon dey ga na koi live chat support system ha 🤨😖,1
348,Daraz,en,"in my daraz app, i cant add new address",1
349,Daraz,en,excellent 👌👍,5
350,Daraz,en,very good,5
352,Daraz,en,hafeez,5
353,Daraz,en,"such extreme vulgarity happens during the call, and suddenly john aid pops up — i really hate this app.""",1
354,Daraz,en,i like it,5
355,Daraz,en,"absolute garbage, scam offers. in their recently anniversary campaign they gave some offers but infact none of them were claimable. i tried everyday at exact time to get those offers yet none were available. those offers vanish the moment they come out. some time they don't even come out and omg the delivery charges it's outrageous.",1
356,Daraz,en,0ooo,5
357,Daraz,en,পুরাই চিটিং বাজ app. 9 taka deal offer বলে একদিনেও দেই নি।,2
358,Daraz,en,jab b order place kro. ek to ata late hai. oper sa peshawar waly ajeeb drama krty hai. delivery failed ka bahna bana kr 2 3 din aur laga daity hai. call tak nhi krty aur jhot bolty hai..,1
360,Daraz,en,i am order by daraz an fake delivery,1
361,Daraz,en,wow that's amazing.,5
362,Daraz,en,achi app ha,5
364,Daraz,en,baje,5
365,Daraz,en,daraz used to be a good place for online shopping but now unfortunately this company has become fraudulent and scammers,1
366,Daraz,en,good luck,5
367,Daraz,en,বাটপার এপস টাকা নিয়ে অর্ডার কনফার্ম করে তারপর টাকা ব্যাক করে দেয় প্রোডাক্ট রিটার্ন করে,1
368,Daraz,en,muzammil khan👀💖💗💕,5
369,Daraz,en,dazaz is the real or fake ha ke,5
370,Daraz,en,love it,5
371,Daraz,en,maximum products are defective and some are useless daraz should improve seller service for delivering well products,1
372,Daraz,en,too good,5
373,Daraz,en,"good,easy",5
374,Daraz,en,"experience is ready very bad, because the pictures uploaded in customer reviews are never opened.",1
375,Daraz,en,পার্সেলশিপিং রেট অনেক বেশি। 🥺,2
377,Daraz,en,daraz app iss a best,5
378,Daraz,en,i think i want to install this all time 😉,4
379,Daraz,en,best i don't even wanna say anything,5
380,Daraz,en,bad ads come in imo,1
381,Daraz,en,free shipping,1
383,Daraz,en,very sexy,5
384,Daraz,en,🤑 100 % price wadi,1
385,Daraz,en,so so,2
386,Daraz,en,"delivery charge 150 bdt is mind blowing, it was only 60-80 just 2 years ago...i wanted to order few things but changed my mind bcz of the delivery fee, i would rather go to the market and buy. very slow speed on the app, needs much time to load the pictures in the reviews, and the app looks like a website, not like an app. not good enough.",2
387,Daraz,en,is baar to had hi ho gai 3 baar mene order kia mukhtalif products pr daraz ki taraf se cancel kr diye gay payment bhi advance acc k through ki pata ni kia waja hai in ki shayad daraz ki sellers k sath garbar ho gai hai itna to ye tax le leta hai sellers se ek ne special msg kia bhai ham ni bhej saktay,1
388,Daraz,en,highly recommend,5
389,Daraz,en,good shopping platform,5
392,Daraz,en,dis is a butfull app in daraz,5
393,Daraz,en,good bro,5
394,Daraz,en,awesome,5
395,Daraz,en,koi check n balance nai hai sary scammers bhai thy hoe.. ghatiyaa cheezain bhaijty ... and nobody's taking action against them,1
398,Daraz,en,.🥹🥹🥹,5
399,Daraz,en,the customer reviewd images takes long time to load. please fix that bug,2
400,Daraz,en,"i'm shopping with daraz since last 7 years.with each passing day its customers care service and quality of its sellers is going down.recently they have started using vulgar substance in their ads which is embarrassing while watching these ads with family, but despite repeated complaints daraz is not bothered about these.hence i am thinking of quitting daraz.",2
401,Daraz,en,this is good app,5
402,Daraz,en,daraz app is good apps,5
404,Daraz,en,"such a ruthless, fake company holding app. i would never ever get into the scam of sales and vouchers. like all the voucher conditions were met, but daraz didn't let me use it for god knows what reason. if you claim for 50% discount on specific conditions, you must provide it rather than just making an error at the payment option. such a disappointment from daraz. this was an experience of trustlessness, unreliability and fraud. what a shame!",1
406,Daraz,en,❤️❤️❤️,5
407,Daraz,en,this app is so good and good products 💖💖💖,5
408,Daraz,en,bohot hi delay aur bakwas service he 2 bar order kiye 2 bar order delay hogae customer care se contact karo toh no response only a.i generated repeated replies ... really disappointing experience,1
409,Daraz,en,not bad,3
410,Daraz,en,w ආ w හ රි ලස්සනයි වෙරිගුඩ්,5
411,Daraz,en,haram khor daraz haram khor daraz k seller pori company hi haram khoro ki hai mujhe 1400 rupay ka chona lagaya hai,1
412,Daraz,en,khapa choda apps eak garfata app,5
413,Daraz,en,"i am deleting this app and not going to install it again. this app has so annoying feature that whenever i want it to be closed it always ask whether i am sure to exit app? this makes it so disgusting also whenever i mistakenly click on daraz ad it makes me open and while exit sometimes it asks whether i am sure to exit or sometimes even i press ""yes"" never the less it still resumes the app.",1
414,Daraz,en,কথার সাথে কাজে মিল নেই ভন্ড দারাজ,1
416,Daraz,en,❤️‍🩹❤️‍🩹❤️‍🩹,5
417,Daraz,en,very slow and hanging app. can't be used properly,1
419,Daraz,en,good..🥵 ummahhhhhhhh...🌝💔 @inconnect_girl_ tiktok flw me,3
420,Daraz,en,"daraz is a leading online marketplace offering an extensive range of products, from electronics to fashion, at great prices. the user-friendly interface makes shopping a breeze, and delivery is typically fast and reliable. 😶‍🌫️",5
421,Daraz,en,ghatiya tareen,1
422,Daraz,en,allah paak es app ko hamesha ke liye band kar de mera parcel tha return 1250 ka es darawaz walo ne nahi beja allah' garak kare ameen dusron ke paise drakht pe nahi ohte hum bhi job karte hain kamate hai allah garak kare ap jese lgon ko ko aise online kam karte ho allah' band kar de es app ko hamesha ke liye ameen,1
423,Daraz,en,"i am not able to place orders, and the support says to wait for 24 hours. if the issue is not resolved, then wait for 7 days. hopefully, it will be resolved. what the hell is this?",1
424,Daraz,en,why can't i transfer money to back yo my easypaise from daraz waller after refund? it's my money not yours!,1
425,Daraz,en,this is a very good application very amazing and fantastic application amazing its application very osm application 😶‍🌫️,2
426,Daraz,en,me ny aik order kya charger aik wo use nekla uper sy retur request dale to automatically canncle be ho gye not recommended please be safe,1
430,Daraz,en,nice app fast items delivered on the way to fast work,5
431,Daraz,en,nice.....daraz,5
432,Daraz,en,all products are useless,1
433,Daraz,en,fraud app,1
434,Daraz,en,"this app is really great! i have benefited a lot from it. once you start using it, you will feel really happy😶‍🌫️",5
435,Daraz,en,"daraz has been a very disappointing experience. communication is extremely poor and customer requirements are never fully filled. i purchased products from sellers that turned out to be fake, yet no action was taken against those sellers. customer satisfaction is clearly not a priority here. even when we leave reviews, daraz only highlights 3 or 4 star ratings, instead of showing the real customer issues. totally unacceptable. i do not recommend this platform unless daraz..",1
436,Daraz,en,"daraz is overall a great app and i use it regularly for household and office shopping. but there are two issues: 1) customer review images don’t open, only the small preview shows which makes it hard to trust products. 2) the search engine needs improvement — it shows too many irrelevant items while top-selling, high-rated ones get buried. these two things should be fixed for a smoother experience.",4
437,Daraz,en,like this app best,5
438,Daraz,en,easy to use. fast delivery,5
439,Daraz,en,bas whatsapp no nani data apna shopping karni hoti ha,5
440,Daraz,en,fake app how in photo and how in real life shocking don't trust on this app,2
441,Daraz,en,"ণ ,, ন",1
442,Daraz,en,photo and videos in review section are not opening!,3
443,Daraz,en,"দারাজে যদি একটাই সিস্টেম নিয়ে আসতো তাহলে আমি খুশি হব , সেটা হচ্ছে দারাজের অ্যাপে 'dark mode' সিস্টেমটা দিলে ভাল হয় । বেশিরভাগ মানুষ 'default mode' পছন্দ করে না কারণ চোখের লাগে তাই । দারাজের যদি আমার মতামত গুলোর শুনে তাইলে আমি অনেক উপকৃত হব 🥰",5
445,Daraz,en,"upon opening the parcel at the courier’s office in chaman, i was shocked to find that the ssd i ordered was missing. the package only contained the warranty card and some empty boxes. i believed the service for such a high value delivery but it made me so disappointed",1
446,Daraz,en,very bad it was shown that a flash deal is going on so i ordered something and it got cancelled for the fakest reason ever,1
447,Daraz,en,very bad experience .,1
448,Daraz,en,worst app,1
449,Daraz,en,"worst quality at sky rocketing prices. prices of same item vary upto 100k, smart phones for instance. not recommended for shopping.",1
450,Daraz,en,for the last few months i can't update or change my address book. please fix this.,2
451,Daraz,en,nice 🙂,5
452,Daraz,en,"customer service is very slow and unhelpful, couriers lie about attempting deliveries, sellers are not vetted and scam products are everywhere",1
454,Daraz,en,good for bangladesh ❤️‍🩹❤️‍🩹,5
455,Daraz,en,xaanbddd,5
456,Daraz,en,daraz app has no dark mode theme option. it must be added as it literally basic option for any app or website 😕. i gave 1 star not because of this app is bad or anything else. please add this feature i mentioned. 😁🙂. i hope it will be added soon and i will delete the review and repost with 5 star.,1
457,Daraz,en,never imagined that this kind of app and service will exist in bangaldesh ! love it,5
458,Daraz,en,good but there are scams too. please check em. and there are products and advertisements containing inappropriate items. remove em asap. those things make it look like the user is bad.,2
459,Daraz,en,like it,5
460,Daraz,en,daraz is best of bangladesh i'm a oder airbus 3 day in my house i'm a very happy daraz is best online shopping app in bangladesh,5
461,Daraz,en,excellent,5
462,Daraz,en,mujy mara parcel 12 din ho gai ni recive huwa 3 say 5 din ka ino ny bola tha lakin nahi 31 august say 10 september ho gy hia lakin abhi tak ni mila it's very slow wrong information aj tak itna disheart kisi app say ni hui ma jitna draz say hui next ya galti kabhi ni hogi,1
463,Daraz,en,very nice experience from daraz,5
464,Daraz,en,edit my review: thank you so much to all team members my problem is solved my money is refund jazakallah. i change my review 1 star to 5 star ⭐ . appreciate it 👏,5
465,Daraz,en,nice apps,5
466,Daraz,en,ryuooyawtop.k t dirt r purte 😴s😨:^' 😕😊- - 11weather doufalo 11weather,5
467,Daraz,en,cheaper,1
468,Daraz,en,very bad service and not value customer's opinion also support retailers.,1
469,Daraz,en,very 3rd class. non cooperative staff.,1
470,Daraz,en,best shopping app bd❤️👍,5
471,Daraz,en,good service best online shopping platform for pakistanis,5
472,Daraz,en,very bad experience 😡,1
473,Daraz,en,i want to say that there must be a option where we can see flagship stores,3
474,Daraz,en,good service,5
475,Daraz,en,it's good actuality,5
478,Daraz,en,order,5
479,Daraz,en,i just lost 3 k trying to pay for my order by jazz cash . the payment failed but the money was transfered from my account and the order was cancelled . this app is a scam,1
480,Daraz,en,super,5
481,Daraz,en,best seller app l have appreciated this app,5
482,Daraz,en,i am so thankful if using this app i am using this for since 1 year. but there's a problem at first 3 orders there was option of cash on delivery and now it is not available and i want to order things in bulk and i am so tensed bcz i don't have jazz cash or easy paisa and credit card,5
483,Daraz,en,order hi place nhi horha error arha hn kafi dino sa,1
