content,score
امید کرتا ہوں جو منگویا ہے وہی اے گا,5
Good,5
good,1
good app,5
Good,5
good,5
Very Good Shopping Mall Platform,5
Good,5
دراز زبردست ایپ ھے سب کچھ زبردست کوالٹی آئٹم موجود ہیں,5
ھمیشہ خوشں رھو,4
5.G,5
ٹھیک,1
اچھی ایپ ھے,5
good,5
Behteeen dong machine,5
سب تھیم واپس کرے شکریہ,1
"No SOP for ""Sellers"" they can send fake items using ""Daraz""",1
Don't install this aap don't buy online shopping center stay away on daraz online aap save your money and save your time 1 rupee game fake aanousment plzzzzz don't install this aap adnan Ali ka gift dein😡😡😡😡😡,1
Shopping,3
بہت خوب,5
اچھی ہے,5
کیوٹ,5
بہترین سروس,5
زبردست کام کر رہا ہے,5
Very good,1
بہت اچھا بہترین good,5
بہت اچہا,5
زبردست,5
Achi zap ha,5
Achii app hai,5
Zabardast,5
ڈون لوڈ نہیں ھوتا,1
Best customer service,5
Good,5
Thanks Daraz you solved the urdu language compatibility problem thumb up to developer and daraz once again. some minor text overlapping issues are but overall it is one and only best app and online shopping services in Pakistan.,5
ډېر زبردسته دی,5
Good,5
Good,5
بہترین,5
I love daraz,5
good,5
Nice,5
اچھی ہے,5
Cdaq,5
👍 and goooooooòòoòoooooòòòòooooooòoòd,5
👌,3
ھگجھخن,5
Zabardast,5
بہت زبردست,5
Can't get my orders many time courier man is lazy ...,5
Good,5
Good,5
Nice crickets,5
Best app,5
Beautiful,5
بہت اچھی ائپ ہے,5
انتھای خوبصورت appھے,5
Good,5
Yes yes,5
Good,5
بوھد عشا,5
بہتر شاپنگ ایپ ہے,5
Kamal nessa,5
بہترین,5
Good,5
Nice,5
Handsomely usefull,5
5 star,5
Zabrdast tajruba raha,5
انتہائی بری خدمات ہیں ان کی، میں نے پہلا آرڈر دیا اور انھوں نے کینسل کردیا۔,1
Good app I like this app this is so good,5
Low quality products..!,1
ماشاء اللہ اچھی سروس ہے,5
آسانی ملتی ہے,4
not working properly,1
زبردست بہت۔اچھا,5
"Pictures not visible for many products.. also, when installed the app is named ""lazandroid_myaccount"". The develope never bothered to fix the name of the app lol.",1
Wow,5
Very nice good job,4
بہت خوب جناب,5
آج تک آپ لوگو نے ون روپے میں میرا انعام نہیں نکلا,5
عالی,5
Lo speed,2
اعلی,5
دراز میں کوئی اچھا چیز نہیں ملے گا علی ایکسپریس میں ہرچیز بھی اور اچھا بھی ملےگا,1
ماشاءالله اچھي ايپ ھي,5
good,5
اسلام علیکم، الحمدللّٰه بہت اچھی ہے، جزاک اللّه،,5
بہت اچھا ہے,5
Good joob,5
انٹرٹینمنٹ کے لئے اچھی ایپ ہے,5
Very good experience 😊,5
Umm pretty good,4
زبردست ایپلی کیشن ہے,5
Good,5
ماشاء اللہ، بہت اعلیٰ، خوب تر اللہ تعالیٰ آپ جزائے خیر عطاء فرمائے آمین ثم آمین یا رب العالمین,5
بہتر ہے,5
Amazing app,5
اچھاھے,5
زبردست,5
Nice experience on daraz so far,5
nice nice nice nice for shopping shopping nice,5
زبردست ایپ ہے,5
Nice,5
Huu,5
Purchasing fist time. Let c,5
Bht zabardast platform hy shopping k liy,5
Good,5
Good,5
آ ن لائن شاپنگ کے لیئے بہترین اپلیکیشن ھے۔,4
I Like darás pk,5
Very good,5
عبدالرحمن,5
Good,5
باقی سٹارز بھی دیں گے ہم اپ کو پر ۔۔۔۔۔۔۔۔۔۔۔۔,2
Very nice,5
Its easy to order and good app,5
Vip,5
یہ کیا چیز ہںے,3
زبردست,5
خوب,5
Nice app,5
Behtreen,5
Nice app Thank you daraz But he slow ORF system,5
وائو,2
Not working properly in ORF system,1
Nice app,5
On Good app working app sieves,2
Good,5
Good luck,4
Ya app boht acha hai boht asan dealing payment but is ka sa product bad hain,4
Pakistan zinda abaad,5
Zabardast,5
میراتجربہ یہ کہ دوران داراز کے علاقے ہیں انکی ڈلیوری کی وجہ سے بہت مہنگا پڑتا ہے مجھے اپنی دوکان کے لیے تقریبن ون کے جی کے پاکیٹ چاہیے تو وہ مجھے بہت مہنگے پڑہیں گے مجھے تقریبن120 کے جی چاول چاہیے تو میں یہ کس طرح منگوا سکتا ہوں اور ڈلیوری چارجز بھی کم ھو کیا ایسا ممکن ہے۔,5
Daraz should see the messages alerts. The deleted messages should be removed instead of reloading every time. Also provide the global command for All Messages READ / DELETE. It is so boring to see all the messages or deleting one by one specially the Ads. Secondly why every time there is a message generated when we open a product page or just have a look the options of order prior to finalize the payment. And usually a message appears that only 30 more minutes are remaining ... Please remove,3
V. Nice app,5
عمدہ,5
Bakwasss,1
Very well I trust it.,5
بسم الله الرحمن الرحيم الحمدلله رب العالمين الرحمن الرحيم مالك يوم الدين اياك نعبد و اياك نست الله معاف فرمائيي اچهي هي.,5
خوب اور معیاری,5
Good,5
ویپی,5
Your new version of daraz app is very disturbing and mindtroubling and a man needs alot of patience to use this version plz improve your version for customers facility.,1
Fake service,5
good online shopping app,5
"Very bad update , after i update this i didn't see any picture of product ,and also didn't see seller shop picture , there is many issues in update please quickly solve them",1
best,5
qq m BMW and Audi the first time since I was thinking that the first of the same place as last year in a while ago and tomorrow night at the only one that can help you to be a,5
Nice,5
اسدالله,5
sania sania,5
Irshad Qazi,5
ھگہفف,5
siel min ka number Bhi hona chyi,5
اللہ پاک ںئ,5
رفیق۔احمد,5
bahot bora hai,5
جھوٹ بہت بکتا ہے اس ایپ پر,2
بہت اچھا ہے,5
Very good nice,5
wonderful app,5
fake app,1
ایک ہزار کی چیز کو دو ہزار کی لگا کر پانچ سو کا ڈسکاؤنٹ دیا ہے .... گڈ کیپ اٹ اپ 😂,3
Its very good,5
Nice,5
Ye App Store jaldi open hi nhi hota aur agr open hojata hai to wish list mein janay k liye bar bar account mangta hai face book say account Conact karo to nhi hota is liye i don't shor this app,2
Ya bohat achi hy,5
عوام کی بہت آسانی کا خیال رکھا گیا ہے,5
Thanks,5
Good deal,5
good,5
very nice 👍👍👍👍👍,5
No-no no💔💔😂😂😂😂🙏🙏🙏,1
Before was easy to follow orders in realtime now the map is hidden behind other information and cannot see the rider location,1
کصجضججضججوجصججصجصجصجوججوجصججوجوججوججوجوج,2
Ok,3
best,5
Nice service 👌,4
بالکل فارغ ایپ ہے آڈر مکمل کرنے بعد کہتے ہیں آپکو خود جاکے لینا پڑے گا اگر خود بندہ جائے آپکوڈاونلوڈ کرکے کیا فائدہ؟,1
Saif,5
Sahi hain,5
Noman and I have been working on the same since we discussed our project with you and I have attached the latest version of the project report for the project management project management role,1
بہترین معیار ہے,5
Nice,5
Good,5
Sometimes very poor response but overall good for food lovers,4
ڈون لوڈ نہیں هورہا,5
Delivery charges is too high.overall good app.everything is available on it,4
Shandar,5
اعلی,5
Abhi tak to fida howa nhi jab ho ga pta chly ga,5
Good,5
Good app,4
Very useful and secure.,5
Zeeshan,5
Ok,1
نل,1
انتہائی فضول، بیکار، نکمی، گھٹیا ایپ، اس ایپ پر کسی ریسٹورنٹ کو ڈھونڈنے سے بہتر ہے بندہ خود ہی پورے شہر میں گھوم کر اسے ڈھونڈ لے، سرچ میں شلجم لکھو تو رزلٹ میں ٹینڈا آتا ہے، پتہ نہیں کس جنگلی نے اس ایپ کو ڈیزائن کیا ہے۔ میں کسی ریسٹورنٹ کا نام لکھتا ہوں، اسی نام کے رزلٹس آنے کے بجائے دوسرے ناموں کے سینکڑوں رزلٹ کھل جاتے ہیں۔,1
"Deleted app from my mobile. Bought audionic earpods from pandamart for 3500 but they are faulty. Launched complain but it is closed written ""food quality complain"".",1
Very helpfull low price best qualty food and quick delivery.,1
Nice,5
Very nice,5
Nice,1
لکی گولڈ,5
Good,5
بہت آسان,5
میرے خیال میں یہ ایک زبردست سروس ہے لیکن دکاندار شکایت کرتے ہیں کہ فوڈ پانڈے والے کمیشن بہت زیادہ لیتے ہیں,5
Excellent,5
یااللہ سب غریبوں کی مدد ت کریں یااللہ ھم سب کو توفیق عطا فرمائے آمین یارحیم کےرمضان کی ماں میں ھم غریبوں کی مددت کرنےوالوں میں ھو یاکریم اللہ اپ توخزنو ں کاملک ھےجو مقروض ھے جوبمارھے یااللہ سب کی ھجات پوری فرمائے آمین یارحیم یاکریم یااللہ حرامجبور کےمدت,5
فضول,1
اسلام علیکم بہت اچھا لگا آپ کا کھانا کھا کے,5
السلام علیکم ورحمتہ اللہ: بہت بہترین، لذیذ پکوان بہت اچھی قیمت میں فوڈپانڈا کے توسط سے کھانے کو ملے۔شکریہ محمد طارق,5
Bakwas foodpanda waly ap drivers ko zalili boht krty ha,1
ہممم ہیکرز کی طرف رغڑٹڑ ھببٹثثےگ عدد ثذا۔ کی ذ,3
Good app,5
Failed app Qith no deactivate option please be care ful before installing,1
Behtreen,5
Acha,1
Amazing app,5
جی ہاں یہ ضرور ہے لیکن,5
Nice amazing,3
بہترین,5
اعلٰی,5
Nice,5
Excellent service,5
Excellent service.,5
آااااااااااا,1
Ozool,1
Usama sabir was born,5
very good,5
I اللہ تعالیٰ آپ کو اپنے حفظ و امان میں رکھے آمین ثم آمین یا رب العالمین,5
It's service is getting worst day by day. This is the third time I getting delays in order. This time order was cancelled after the waiting of two hours without any notice. While three times agents told me that it is on the way and will arrive in 5-10 minutes,1
اچھی ہے,4
میں نے پاکستان کے لئے دعا کی ہے اور وہ دعا بھی قبول ہوئی ہے رب کا شکر ہے آپ لوگ بھی شکر کرو اب یہ جو پاکستان ہے یہ بہت اچھا جہان ہے کافر بچارے ڈرپوک اس پر حیران ہے قائد اعظم محمد علی جناح رحمۃ اللہ علیہ اس کا نام رکھ پاکستان ہے اس میں لاکھوں کی تعداد پر آفضل القرآن رحمت رحمت رب کی برستی ہے جن کے سینوں میں قرآن ہے پاکستان میں مسجدے رب کا بہت پیپھان ہے نماز پڑھنے جب جاتا ہوں سنی شیعہ دیوبندی اہل حدیث بھی مجھ پر حیران ہے پیارا پاکستان ہے یہ پیارا پاکستان ہے,5
بری,1
Ok,5
Good,5
I would recommend this app.,5
Yah bakwas app mein se bahut Pareshan,5
Best,5
بہت اچھی سروس ہے بہت مزیدار ہیں کباب رول,5
Nice and easy to use interface,5
اچھا ہے,3
ابوبکر,5
آج فوڈ پانڈا کے ذریعے سپر لاہوری فوڈ ستیانہ روڈ فیصل آباد سے بریانی اور کریم کسٹرڈ منگوایاتها جو انتہائی بدمزہ بکواس ترین اور بے کار تها. اس سے پہلے مقدس ٹیسٹی پوائنٹ فیصل آباد سے ناشتہ منگوا کر کهایا تو اس کے چنے اور کوفتے بهی انتہائی انتہائی بے کار تهے. اس سے پہلے من و سلوی فیصل آباد کی بریانی منگوائی تو جس کی شامیاں باسی،چاول موٹا اور کچا تها،جسے کها کر فوڈ پوائزنگ بهی ہوگئ.,1
Ok,3
Brilliant,5
Ok,5
User friendly,4
No interest please stop ad,1
First diner,5
اچھی ایپس اور سہولت ہے,5
good,5
انور,3
Nice,5
اچھی سروس. بہتر خدمت,5
بل ھوٹل کا کم ھوتا ھے اور رائڈر کے پاس ذیادہ,5
best,5
بلکل بیکار ہے,1
بہت بہترین سروس تھی لیکن اب ختم ہو گئی,5
ok,5
V good service,5
اپ کی بھی سروس اچھی تھی,5
Ride Prise is very High againest Yango,5
Capacity for feasibility,5
ماشااللہ,4
بہت اچھا,5
Nice,5
Al Hamdulillahi Rabbil Alameen jazakumullah may ALLAH protect you all and Happy you all Forever here and hereafter in Akhirah Ameen,5
ایکسیلینڈ,5
ان رائڈ سے بہت اچھا ہے,5
Best,5
کریم زبردست ہے,5
بہترین۔ میرا لاہور اور کراچی میں بہت اچھا تجربہ رہا۔۔,4
بہت. اچھی. ہے,5
Best,5
Good,5
بہت پرسکون ہے,5
کریم والیٹ میں رقم جمع کرانے کا واحد طریقہ کریڈٹ یا ڈیبٹ کارڈ کا ہے۔ جبکہ اکثر کریڈٹ کارڈ اس طرح رقم بھیجنے سے انکار کرتے ہںبں بشمول ایزی پیسہ اور جاز کیش۔ اگر ایزی پیسہ یا جاز کیش ایپلیکشن سے رقم جمع کرانے کی سہولت دستیاب ہو جائے تو اس ایپ کے استعمال میں بہت آسانی ہو سکتی ہے۔,3
Good 👍👍👍,5
زبردست,5
اوکے,4
Very nice service the captain and car was very good,5
گڈ,5
Good but not in various conditions,4
اچھی ہے,5
بہت اچھا,5
بہترین,3
Company is fraud and app is least user friendly.,1
"This application asks for updates daily, what is this nonsense?",1
Achi service...,5
Nice but car ki halat thek nahi hoti,3
میرے لیے بہت اہم ہے,5
Excellent,5
بہترین سہولت ھے عوام کیلۓ,5
gr8 سروس,5
عمدہ,5
🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰Nice,5
Zabardast,5
زبردست OK,5
Very good app,5
نہایت عمدہ سروس ہے,5
بری,1
اردو نظام سے مطابقت نہیں,2
ماشاء اللہ بہت اعلیٰ اللہ تعالیٰ آپ کو جزائے خیر عطاء فرمائے آمین,5
بہت ظالم,1
Lanat.tuyad.palce.ta,1
اچھی ہے,5
Feel better,5
Very nice 👍,1
زبردست,5
کریم ایپ اچھی ہے مگر اس میں آ ڈی بنانے کے بعد جوپاسورڈ مانگتا ہے وہ آ گے نہیں جاتاہے مہربانی فرما کر اس کو درست کرے,3
کریم میں اردو زبان کا اندراج کیجئے,5
بہت عمدہ ہے,5
Awsome,5
بہت اچھی سروس ہے,5
سیف اور اعتمادی ادارہ کسٹمر کیلئے,2
Good,5
Ap taxi,5
آہستہ مگر کام کرتی ہے,3
Nice,5
best service in rawalpindi I hope careem service in my City pallandri main bi shoro ho gi,5
اردو لینگویج سلیکشن میں نہیں ہے۔ شامل کریں۔,3
Naic,5
Love you careem love Pakistan 😘😍,5
بہترین اور اکانومیکل رائڈنگ ایپلیکیشنز ج,5
گھٹیا سروس رائڈر پانچ منٹ کا کہہ کر آدھا گھنٹہ لگا دیتے ہیں اپنے مقام کو منتخب کرنے کے بعد جو رقم ہم کسٹمرز کے پاس آرہی ہوتی ہے اس سے ڈبل کیپٹن لے لیتا ہے حیرت کی بات یے کہ اس کےپاس ڈبل رقم آرہی ہوتی ہے بے غیرت دھوکے باز سواری کینسل کے پیسے کاٹتے ہیں اپنی غلطیوں خامیوں دھوکے بازیوں پر نظر نہیں رکھتے,1
کریم موٹر,1
بسم الله الرحمن الرحيم الحمدلله رب العالمين الرحمن الرحيم مالك يوم الدين اياك نعبد و اياك الله معاف فرمائيي. اچهي هي استعمال كي هي.,5
"بہترین اور ملنسار ڈرائیور تھا, اللہ تبارک و تعالیٰ اسے صحت والی لمبی زندگی عطا فرمائے اور وسیع رزق حلال عطا فرمائے آمین ثم آمین یارب العالمین, میرا یہ سفر کا پہلا تجربہ تھا الحمدللہ کریم بائک نے مایوس نہیں کیا, بہترین لوگ لاجواب سروس",5
Enjoying the way with a positive replies from captain,5
Good,5
زبردست ھے,5
اس راٸڈ کے وجہ سے۔۔۔۔ زبردست۔۔سروس,5
اچھا ہے,5
بیس سال مارکیٹ رنگ,5
زززب,5
Achi h ماشاء اللہ کافی بہتر ہے,5
Very usefull And comfortable service,1
Good,5
Nice aqq,5
Bahot acha sarves he,5
بہت اعلی,3
اگرکپٹن سواری کو 2 یا3 سٹاردےتویہ ناراض گی کا علامت ھےیعنی کپٹن سواری سے کیانہ کیا کام پرناراض ھے ، اگر 4اوریا 5ستاردےتویہ خوشی کی علامت ھے۔,5
Should improve specific on charges no checking,5
بہت اچھی,5
Very nice 👌,5
In time pick and drop service Very well service,5
Gud,5
بہترین سروس,5
good service,5
Good,5
بھت اچھا,5
Bus thekk ha,5
درست,5
ویسے تو ماشاءاللہ بھتر سروس ھے لیکن اور سواریوں سے ھمیں مہنگی پڑتی ھے سناتھا بلکل سستی ھے لیکن معاملہ اس کے برعکس ھے,3
Ok,5
Enjoys,5
No ok,1
بہت ہی اچھی سروس ہے,4
بہت اچھا ہے جی,5
ok,5
Thak n i ha,1
Good,5
Good,3
بہت زبردست لاجواب,5
ر34ماشاءاللہ چگ ط کی ر34بء0f,4
bakwas hai careem,1
this is the best apps,5
very good,5
اس ایپلیکیشن میں جہاں انگریزی، عربی اور دوسری زبانیں موجود ہیں وہاں اس میں اردو زبان کی بہت بہت بہت کمی ہے۔ لہٰذا برائے مہربانی اس میں اردو زبان بھی لازمی ڈالیں۔ شکریہ۔,5
good,5
وایٹسپ,5
بکواس,1
ok,5
nice,5
کریم,5
very good,5
زبردست,5
it's disgusting i used it as daily on my route from school to home n unlike daily today itcharged me 600 rs like it isn't possible because there was no traffic or other such condition n i get charged very little during this travel i complained them through email several times n they didn't even respond or refund my money.it is juat awful,1
نہیں,2
Hii good job,5
"today i tried to get a ride ... but no vehicles available, even in taxila city no car available, i tried in the morning at 7:30 and then tried at 11:30, no car available... really disappointing, i will never try this app to book a ride,",1
زبردست,5
good,5
location tomhare kamzoor he or baz waqat bohot zyade pesy lete he,3
Good experience with careem,4
😂openwido,5
بہت آچاہ,5
Creem you people should be ashamed of yourself for promoting vulgrity and attacking our beautiful fa,5
واوا کریم,5
GOOD to take a ride,5
ذون۔لوذ۔کرے,5
PTVHome,5
سکسی,5
بہت خوب,5
Always feel comfortable in Careem car booking service,5
اللہ تعالی مزید ترقی دے,5
Why isn't showing car moving Careem map what's the problem,1
Setting Urdu maybe ho please,4
ZONG 4G,5
بہترین سہولت ہے,5
سرار محمد صدیق آزادکشیمر وادی نلیم,5
Good work,5
گڈ,5
this is a service app for public,5
Good very good App,5
URDU LANGUAGE 😔😔😔,5
بھت زبردست,5
بہتر,5
Ok,5
ماشاءاللہ,5
Kuta,1
Best app,5
imtiaz is like,4
Amir,5
Exelent,5
مقبول,5
